#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  246  R1B6                     9355.534     8060.000    10000.000    -5955.923        0.000        0.000      410.114
  248  R1B7                     9471.594     8060.000    10000.000    -5839.863        0.000        0.000      413.802
  250  R1B8                     9546.594     8060.000    10000.000    -5764.863        0.000        0.000      417.489
  260  R1C1                     9858.414     8060.000    10000.000    -5453.043        0.000        0.000      421.177
  262  R1C2                     9933.414     8060.000    10000.000    -5378.043        0.000        0.000      424.864
  264  R1C3                    10049.474     8060.000    10000.000    -5261.983        0.000        0.000      428.552
  266  R1C4                    10124.474     8060.000    10000.000    -5186.983        0.000        0.000      432.239
  268  R1C5                    10240.534     8060.000    10000.000    -5070.923        0.000        0.000      435.927
  270  R1C6                    10315.534     8060.000    10000.000    -4995.923        0.000        0.000      439.614
  272  R1C7                    10431.594     8060.000    10000.000    -4879.863        0.000        0.000      443.302
  274  R1C8                    10506.594     8060.000    10000.000    -4804.863        0.000        0.000      446.989
  286  R1D1                    10818.414     8060.000    10000.000    -4493.043        0.000        0.000      450.677
  288  R1D2                    10893.414     8060.000    10000.000    -4418.043        0.000        0.000      454.364
  290  R1D3                    11009.474     8060.000    10000.000    -4301.983        0.000        0.000      458.052
  292  R1D4                    11084.474     8060.000    10000.000    -4226.983        0.000        0.000      461.739
  294  R1D5                    11200.534     8060.000    10000.000    -4110.923        0.000        0.000      465.427
  296  R1D6                    11275.534     8060.000    10000.000    -4035.923        0.000        0.000      469.114
  298  R1D7                    11391.594     8060.000    10000.000    -3919.863        0.000        0.000      472.802
  300  R1D8                    11466.594     8060.000    10000.000    -3844.863        0.000        0.000      476.489
  312  R1E1                    11778.414     8060.000    10000.000    -3533.043        0.000        0.000      480.177
  314  R1E2                    11853.414     8060.000    10000.000    -3458.043        0.000        0.000      483.864
  316  R1E3                    11969.474     8060.000    10000.000    -3341.983        0.000        0.000      487.552
  318  R1E4                    12044.474     8060.000    10000.000    -3266.983        0.000        0.000      491.239
  320  R1E5                    12160.534     8060.000    10000.000    -3150.923        0.000        0.000      494.927
  322  R1E6                    12235.534     8060.000    10000.000    -3075.923        0.000        0.000      498.614
  324  R1E7                    12351.594     8060.000    10000.000    -2959.863        0.000        0.000      502.302
  326  R1E8                    12426.594     8060.000    10000.000    -2884.863        0.000        0.000      505.989
