 2024-11-05	16:27:35	XNoDosimeter	RnoRod	3.176	0.927	4.816	25.406
 2025-07-15	11:18:49	XnoDosimeter	Rnorod	78.392	4.923	2.419	24.354
 2025-07-16	11:16:57	XnoDosimeter	Rnorod	78.186	4.483	1.974	23.660
