 2024-11-05	16:47:00	XNoDosimeter	RNoRod	-20.407	0.959	2.533	25.418
 2025-07-15	10:49:22	XnoDosimeter	Rnorod	-152.916	-0.797	-2.827	23.676
 2025-07-15	10:53:56	XnoDosimeter	Rnorod	-152.968	-1.165	-2.526	24.195
 2025-07-15	11:15:14	XnoDosimeter	Rnorod	-152.932	-1.819	-3.264	25.830
