 2024-11-05	16:47:00	XNoDosimeter	RNoRod	-4.793	-157.270	104.356	24.839
 2025-07-15	10:49:22	XnoDosimeter	Rnorod	-2.758	-208.057	139.092	23.519
 2025-07-15	10:53:56	XnoDosimeter	Rnorod	-2.366	-208.129	139.059	24.331
 2025-07-15	11:15:14	XnoDosimeter	Rnorod	-1.494	-212.670	135.369	26.229
