 2024-11-05	16:39:55	XNoDosimeter	RNoRod	-20.164	5.544	2.016	25.280
 2025-07-15	10:46:41	XnoDosimeter	Rnorod	-146.268	4.726	-4.211	23.557
 2025-07-15	10:52:12	XnoDosimeter	Rnorod	-146.450	3.779	-4.232	24.281
 2025-07-15	11:13:29	XnoDosimeter	Rnorod	-146.507	3.378	-4.250	25.224
