 2024-11-05	16:27:35	XNoDosimeter	RnoRod	-19.908	-4.234	3.940	25.223
 2025-07-15	11:18:49	XnoDosimeter	Rnorod	-142.826	-7.797	-1.937	24.365
 2025-07-16	11:16:57	XnoDosimeter	Rnorod	-142.883	-7.903	-1.925	23.733
