 2024-11-11	15:51:20	XNoDosimeter	RNoRod	+1.5631 mWC 
 2025-03-12	09:28:18	XA01033981G	R-43	1337 nonunits
 2025-03-25	09:12:56	XA01471452H	R-124	1337 nonunits
