sample_id,plate,slot,material,region,environment,is_outlier,c1_baseline_mWC,c1_endpoint_mWC,c1_pct_change,c2_apr_raw_mWC,c2_apr_temp_C,c2_apr_corrected_mWC,c2_apr_date,c2_jun_raw_mWC,c2_jun_temp_C,c2_jun_corrected_mWC,c2_jun_date,c2_apr_vs_baseline_pct,c2_jun_vs_baseline_pct,c2_jun_vs_apr_pct,c2_jun_vs_c1end_pct
Y-9-4,9,4,N42EH,NE Arc,tunnel,False,1.1755,1.1729,-0.2190,1.1618,27.9000,1.1711,2026-04-20,1.1631,27.9583,1.1724,2026-06-03,-0.3743,-0.2611,0.1136,-0.0400
Y-10-1,10,1,SmCo35,SW Arc,tunnel,False,1.0844,1.0846,0.0157,1.0809,27.9000,1.0843,2026-04-20,1.0814,29.2007,1.0854,2026-06-02,-0.0092,0.0917,0.1009,0.0733
Y-10-2,10,2,N42EH,SW Arc,tunnel,False,1.1733,1.1720,-0.1102,1.1621,27.6000,1.1710,2026-04-20,1.1634,29.2680,1.1743,2026-06-02,-0.1960,0.0838,0.2804,0.1948
Y-10-3,10,3,SmCo33H,SW Arc,tunnel,False,1.0356,1.0359,0.0278,1.0308,27.6000,1.0339,2026-04-20,1.0351,28.9257,1.0388,2026-06-02,-0.1642,0.3099,0.4748,0.2808
Y-10-4,10,4,N52SH,SW Arc,tunnel,False,1.3049,1.3044,-0.0350,1.2917,27.6000,1.3026,2026-04-20,1.2931,29.2793,1.3064,2026-06-02,-0.1763,0.1176,0.2944,0.1560
Y-11-1,11,1,N42EH,SW Arc,tunnel,False,1.1760,1.1757,-0.0240,1.1628,28.0000,1.1722,2026-04-20,1.1648,29.3937,1.1758,2026-06-02,-0.3231,-0.0131,0.3110,0.0124
Y-11-2,11,2,SmCo33H,SW Arc,tunnel,False,1.0403,1.0408,0.0514,1.0355,27.7000,1.0387,2026-04-20,1.0345,29.0253,1.0382,2026-06-02,-0.1538,-0.1972,-0.0435,-0.2452
Y-11-3,11,3,N52SH,SW Arc,tunnel,False,1.3113,1.3115,0.0134,1.2966,27.7000,1.3077,2026-04-20,1.2964,29.3783,1.3099,2026-06-02,-0.2745,-0.1058,0.1693,-0.1210
Y-11-4,11,4,SmCo35,SW Arc,tunnel,False,1.0845,1.0843,-0.0246,1.0793,27.8000,1.0827,2026-04-20,1.0817,29.2913,1.0857,2026-06-02,-0.1660,0.1139,0.2803,0.1324
Y-12-1,12,1,N52SH,Labyrinth,tunnel,False,1.3125,1.3118,-0.0507,1.2977,27.3000,1.3082,2026-04-20,1.2931,29.9670,1.3074,2026-06-02,-0.3276,-0.3860,-0.0585,-0.3328
