 2026-01-08	10:31:50	XA00576889O	R-716	95.939	4.550	3.114	27.610
 2026-04-20	09:29:18	XA02534296B	R-790	96.505	4.798	2.975	26.112
 2026-04-20	09:32:39	XA02534296B	R-790	96.077	4.478	3.061	26.738
