 2024-07-19-16:03:43			-10.318	152.919	-102.184	22.928
 2024-07-19-16:06:43			-9.489	152.900	-101.625	23.128
 2024-07-19-16:09:45			-10.362	152.898	-101.028	22.812
 2024-07-19-16:12:58			-10.740	152.899	-100.398	22.610
 2024-07-19-16:16:07			-10.994	152.907	-100.316	22.509
 2024-07-19-16:19:11			-11.146	152.904	-99.960 	22.410
 2024-07-19-16:22:19			-11.143	152.907	-100.029	22.402
 2024-07-19-16:25:30			-11.034	152.907	-99.951 	22.405
 2024-07-19-16:28:39			-11.096	152.904	-99.845 	22.406
 2024-07-19-16:31:41			-10.994	152.904	-99.769 	22.392
 2024-07-19-16:34:48			-11.031	152.903	-99.718 	22.379
 2024-07-19-16:37:53			-11.038	152.905	-99.643 	22.380
 2024-07-19-16:40:58			-11.113	152.908	-99.613 	22.353
 2024-07-19-16:43:58			-11.081	152.906	-99.602 	22.311
