plate,is_lab,gamma_dose_rem,gamma_dose_gy,gamma_sigma_rem,gamma_source,neutron_dose_rem,neutron_sigma_rem,neutron_source,beta_dose_mrem,osl_body_mrem,osl_photon_mrem,osl_neutron_mrem,osl_n_saturated,osl_is_lower_bound,ai_days_since_install,ai_n_measurements
Y-23,False,4188.53,41.89,117.04,rod_derived,31.80,0.00,osl_match,240209,4299449,1027440,31800,3,True,363,7
Y-24,False,629926.13,6299.26,90282.98,rod_derived,41250.91,5885.51,independently_derived,0,14019799,39,19760,14,True,367,7
Y-25,False,151626.26,1516.26,52393.28,rod_derived,8.72,0.00,osl_match,422,6528261,519119,8720,6,True,363,8
Y-26,False,1702.32,17.02,0.00,supplemented,24.23,0.00,osl_match,290684,1726554,1411640,24230,0,False,363,7
Y-30,False,2210156.32,22101.56,231393.97,rod_derived,147342.62,15426.26,independently_derived,128896,11181769,51023,1850,11,True,367,7
Y-32,False,34889.76,348.90,2447.12,rod_derived,30.13,0.00,osl_match,195,6190535,1160210,30130,5,True,367,6
Y-34,False,50220.00,502.20,1627.92,rod_derived,9.16,0.00,osl_match,216,6569021,559645,9160,6,True,363,8
Y-36,False,94606.70,946.07,29132.52,rod_derived,9.55,0.00,osl_match,726,6371355,361079,9550,6,True,363,8
Y-37,True,0.00,0.00,0.00,no_aidata,0.00,0.00,osl_only,0,0,0,0,0,False,0,1
Y-38,False,962.78,9.63,0.00,osl_match,8.15,0.00,osl_match,1582,970933,961201,8150,0,False,363,8
Y-39,False,6965.51,69.66,787.36,rod_derived,15.03,0.00,osl_match,30604,3197657,2152023,15030,1,True,363,8
Y-40,False,1371.66,13.72,0.00,osl_match,21.73,0.00,osl_match,51885,1393390,1319775,21730,0,False,363,7
