 2024-11-22	15:40:46	XNoDosimeter	RNoRod	+1.5495 mWC 
 2025-03-12	09:15:54	XA025225696	R-26	1337 nonunits
 2025-03-25	09:16:36	XA00869042I	R-50	1337 nonunits
 2025-04-08	08:44:28	XA00743842D	R-195	1337 nonunits
 2025-04-23	11:30:32	XA00763950A	R-246	1337 nonunits
 2025-06-11	12:33:40	XA02633313N	R-414	1337 nonunits
 2025-06-17	10:31:10	XnoDosimeter	Rnorod	+1.5334 mWC 
 2025-06-17	10:31:36	XnoDosimeter	Rnorod	+0.0001 mWC 
 2025-06-17	10:31:59	XnoDosimeter	Rnorod	
 2025-06-17	10:32:02	XnoDosimeter	Rnorod	
