 2024-04-22-15:54:44				
 2024-05-02-15:45:31						
 2024-07-09-15:34:38						
 2024-07-09-16:52:10						
 2024-07-23	16:10:45			15.732	-0.547	8.297	23.988
 2024-09-17	10:31:18						
 2024-11-05	16:18:33	XNoDosimeter	RNoRod	-22.830	-6.646	2.941	25.343
 2024-11-05	16:37:35	XNoDosimeter	RNoRod	-17.515	5.565	0.999	25.964
 2024-11-07	14:38:45	XNoDosimeter	RNoRod	-30.276	-1.376	5.480	23.654
 2024-11-18	14:48:30	Xnodosimeter	Rnorod	-11.374	-3.333	0.202	26.956
 2024-11-19	10:31:42	XNoDosimeter	RNoRod	-20.185	-1.959	2.124	24.853
 2024-11-19	11:21:06	XNoDosimeter	RNoRod	-20.174	-0.561	2.141	24.784
 2024-11-20	10:15:28	XNoDosimeter	RNoRod	-21.640	-3.970	4.671	24.369
 2024-11-21	16:39:38	XNoDosimetry	RNoRod	-9.293	1.858	5.345	24.374
 2024-11-21	16:53:13	XNoDosimeter	RNoRod	-16.324	-2.758	2.005	25.299
 2024-12-04	13:05:52	XNoDosimeter	RNoRod	-18.527	0.149	7.130	22.737
