 2024-11-05	16:05:38	XNoDosimeter	RNoRod	3.671	-3.602	7.289	24.256
 2025-03-12	09:23:22	XA00749847X	RR--2288RR	1337	1337	1337	1337
 2025-03-25	09:12:06	XA00555831E	R-123	1337	1337	1337	1337
 2025-04-08	08:48:14	XA00850422N	R-159	1337	1337	1337	1337
 2025-04-23	11:33:02	XA04105401V	R-249	1337	1337	1337	1337
 2025-06-11	12:28:43	XA02243486A	R-401	1337	1337	1337	1337
 2025-07-02	10:40:57	XA017525690	R-467	1337	1337	1337	1337
 2025-07-17	09:46:38	XA00900087O	R-532	79.788	0.687	2.909	33.313
 2025-08-27	10:40:58	XA026762738	R-569	80.002	-0.910	1.567	31.131
 2025-09-10	10:54:20	XA00619968Y	R-635	1337	1337	1337	1337
 2025-10-23	10:46:05	XnoDosimeter	Rnorod	80.001	-0.874	1.733	27.884
