 2024-11-05	15:21:33	XNoDosimeter	RNoRod	+1.3025 mWC 
 2025-05-07	10:00:39	XA018188463	R-293	+1.1649 mWC 
 2025-05-07	10:01:03	XA018188463	R-293	+1.2772 mWC 
 2025-05-07	10:01:38	XA018188463	R-293	+1.0369 mWC 
 2025-05-21	10:36:30	XA007729624	R-361	+1.2923 mWC 
 2025-06-11	10:38:38	XA00811961I	R-406	+1.2894 mWC 
 2025-07-17	12:38:15	XA02172168A	R-516	+1.2779 mWC 
 2025-08-27	14:05:27	XA02253049E	R-576	+1.2849 mWC 
 2025-10-23	09:59:21	XnoDosimeter	Rnorod	+1.2932 mWC 
 2026-01-08	09:48:02	XA01800162X	R-733	+1.2944 mWC 
