sample_id,plate_number,slot_number,material,sample_type,environment
Y-27-2,27,2,SmCo33H,Y,lab
Y-27-3,27,3,N52SH,Y,lab
Y-27-4,27,4,SmCo35,Y,lab
Y-28-1,28,1,N52SH,Y,lab
Y-28-2,28,2,SmCo35,Y,lab
Y-28-3,28,3,N42EH,Y,lab
Y-28-4,28,4,SmCo33H,Y,lab
Y-29-1,29,1,SmCo33H,Y,lab
Y-29-2,29,2,N52SH,Y,lab
Y-29-3,29,3,SmCo35,Y,lab
Y-29-4,29,4,N42EH,Y,lab
Y-31-1,31,1,N42EH,Y,lab
Y-31-2,31,2,SmCo33H,Y,lab
Y-31-3,31,3,N52SH,Y,lab
Y-31-4,31,4,SmCo35,Y,lab
Y-33-1,33,1,SmCo33H,Y,lab
Y-33-2,33,2,N52SH,Y,lab
Y-33-3,33,3,SmCo35,Y,lab
Y-33-4,33,4,N42EH,Y,lab
Y-35-1,35,1,N42EH,Y,lab
Y-35-2,35,2,SmCo33H,Y,lab
Y-35-3,35,3,N52SH,Y,lab
Y-35-4,35,4,SmCo35,Y,lab
Y-37-1,37,1,SmCo33H,Y,lab
Y-37-2,37,2,N52SH,Y,lab
Y-37-3,37,3,SmCo35,Y,lab
Y-37-4,37,4,N42EH,Y,lab
Hn-6-1,6,1,NdFeB,H,tunnel
An-6-1-1,6,1,NdFeB,A,tunnel
An-6-1-2,6,1,NdFeB,A,tunnel
Hn-6-2,6,2,NdFeB,H,tunnel
An-6-2-1,6,2,NdFeB,A,tunnel
An-6-2-2,6,2,NdFeB,A,tunnel
Hn-6-3,6,3,NdFeB,H,tunnel
An-6-3-1,6,3,NdFeB,A,tunnel
An-6-3-2,6,3,NdFeB,A,tunnel
Hn-6-4,6,4,NdFeB,H,tunnel
An-6-4-1,6,4,NdFeB,A,tunnel
An-6-4-2,6,4,NdFeB,A,tunnel
Hn-8-1,8,1,NdFeB,H,tunnel
An-8-1-1,8,1,NdFeB,A,tunnel
An-8-1-2,8,1,NdFeB,A,tunnel
Hn-8-2,8,2,NdFeB,H,tunnel
An-8-2-1,8,2,NdFeB,A,tunnel
An-8-2-2,8,2,NdFeB,A,tunnel
Hn-8-3,8,3,NdFeB,H,tunnel
An-8-3-1,8,3,NdFeB,A,tunnel
An-8-3-2,8,3,NdFeB,A,tunnel
Hn-8-4,8,4,NdFeB,H,tunnel
An-8-4-1,8,4,NdFeB,A,tunnel
An-8-4-2,8,4,NdFeB,A,tunnel
Hn-9-1,9,1,NdFeB,H,tunnel
An-9-1-1,9,1,NdFeB,A,tunnel
An-9-1-2,9,1,NdFeB,A,tunnel
Hn-9-2,9,2,NdFeB,H,tunnel
An-9-2-1,9,2,NdFeB,A,tunnel
An-9-2-2,9,2,NdFeB,A,tunnel
Hn-9-3,9,3,NdFeB,H,tunnel
An-9-3-1,9,3,NdFeB,A,tunnel
An-9-3-2,9,3,NdFeB,A,tunnel
Hn-9-4,9,4,NdFeB,H,tunnel
An-9-4-1,9,4,NdFeB,A,tunnel
An-9-4-2,9,4,NdFeB,A,tunnel
Hn-10-1,10,1,NdFeB,H,tunnel
An-10-1-1,10,1,NdFeB,A,tunnel
An-10-1-2,10,1,NdFeB,A,tunnel
Hn-10-2,10,2,NdFeB,H,tunnel
An-10-2-1,10,2,NdFeB,A,tunnel
An-10-2-2,10,2,NdFeB,A,tunnel
Hn-10-3,10,3,NdFeB,H,tunnel
An-10-3-1,10,3,NdFeB,A,tunnel
An-10-3-2,10,3,NdFeB,A,tunnel
Hn-10-4,10,4,NdFeB,H,tunnel
An-10-4-1,10,4,NdFeB,A,tunnel
An-10-4-2,10,4,NdFeB,A,tunnel
Hn-11-1,11,1,NdFeB,H,tunnel
An-11-1-1,11,1,NdFeB,A,tunnel
An-11-1-2,11,1,NdFeB,A,tunnel
Hn-11-2,11,2,NdFeB,H,tunnel
An-11-2-1,11,2,NdFeB,A,tunnel
An-11-2-2,11,2,NdFeB,A,tunnel
Hn-11-3,11,3,NdFeB,H,tunnel
An-11-3-1,11,3,NdFeB,A,tunnel
An-11-3-2,11,3,NdFeB,A,tunnel
Hn-11-4,11,4,NdFeB,H,tunnel
An-11-4-1,11,4,NdFeB,A,tunnel
An-11-4-2,11,4,NdFeB,A,tunnel
Hn-12-1,12,1,NdFeB,H,tunnel
An-12-1-1,12,1,NdFeB,A,tunnel
An-12-1-2,12,1,NdFeB,A,tunnel
Hn-12-2,12,2,NdFeB,H,tunnel
An-12-2-1,12,2,NdFeB,A,tunnel
An-12-2-2,12,2,NdFeB,A,tunnel
Hn-12-3,12,3,NdFeB,H,tunnel
An-12-3-1,12,3,NdFeB,A,tunnel
An-12-3-2,12,3,NdFeB,A,tunnel
Hn-12-4,12,4,NdFeB,H,tunnel
An-12-4-1,12,4,NdFeB,A,tunnel
An-12-4-2,12,4,NdFeB,A,tunnel
Hn-15-1,15,1,NdFeB,H,tunnel
An-15-1-1,15,1,NdFeB,A,tunnel
An-15-1-2,15,1,NdFeB,A,tunnel
Hn-15-2,15,2,NdFeB,H,tunnel
An-15-2-1,15,2,NdFeB,A,tunnel
An-15-2-2,15,2,NdFeB,A,tunnel
Hn-15-3,15,3,NdFeB,H,tunnel
An-15-3-1,15,3,NdFeB,A,tunnel
An-15-3-2,15,3,NdFeB,A,tunnel
Hn-15-4,15,4,NdFeB,H,tunnel
An-15-4-1,15,4,NdFeB,A,tunnel
An-15-4-2,15,4,NdFeB,A,tunnel
Hn-16-1,16,1,NdFeB,H,tunnel
An-16-1-1,16,1,NdFeB,A,tunnel
An-16-1-2,16,1,NdFeB,A,tunnel
Hn-16-2,16,2,NdFeB,H,tunnel
An-16-2-1,16,2,NdFeB,A,tunnel
An-16-2-2,16,2,NdFeB,A,tunnel
Hn-16-3,16,3,NdFeB,H,tunnel
An-16-3-1,16,3,NdFeB,A,tunnel
An-16-3-2,16,3,NdFeB,A,tunnel
Hn-16-4,16,4,NdFeB,H,tunnel
An-16-4-1,16,4,NdFeB,A,tunnel
An-16-4-2,16,4,NdFeB,A,tunnel
Hn-17-1,17,1,NdFeB,H,tunnel
An-17-1-1,17,1,NdFeB,A,tunnel
An-17-1-2,17,1,NdFeB,A,tunnel
Hn-17-2,17,2,NdFeB,H,tunnel
An-17-2-1,17,2,NdFeB,A,tunnel
An-17-2-2,17,2,NdFeB,A,tunnel
Hn-17-3,17,3,NdFeB,H,tunnel
An-17-3-1,17,3,NdFeB,A,tunnel
An-17-3-2,17,3,NdFeB,A,tunnel
Hn-17-4,17,4,NdFeB,H,tunnel
An-17-4-1,17,4,NdFeB,A,tunnel
An-17-4-2,17,4,NdFeB,A,tunnel
Hn-18-1,18,1,NdFeB,H,tunnel
An-18-1-1,18,1,NdFeB,A,tunnel
An-18-1-2,18,1,NdFeB,A,tunnel
Hn-18-2,18,2,NdFeB,H,tunnel
An-18-2-1,18,2,NdFeB,A,tunnel
An-18-2-2,18,2,NdFeB,A,tunnel
Hn-18-3,18,3,NdFeB,H,tunnel
An-18-3-1,18,3,NdFeB,A,tunnel
An-18-3-2,18,3,NdFeB,A,tunnel
Hn-18-4,18,4,NdFeB,H,tunnel
An-18-4-1,18,4,NdFeB,A,tunnel
An-18-4-2,18,4,NdFeB,A,tunnel
Hn-19-1,19,1,NdFeB,H,tunnel
An-19-1-1,19,1,NdFeB,A,tunnel
