sample_id,sample_type,material,plate,slot,environment,region,config
As-10-4-1,A,SmCo,10,4,tunnel,SW Arc,Alpha
As-10-4-2,A,SmCo,10,4,tunnel,SW Arc,Alpha
Hs-12-1,H,SmCo,12,1,tunnel,NE Arc,Delta
As-12-1-1,A,SmCo,12,1,tunnel,NE Arc,Delta
As-12-1-2,A,SmCo,12,1,tunnel,NE Arc,Delta
Hs-12-2,H,SmCo,12,2,tunnel,NE Arc,Beta
As-12-2-1,A,SmCo,12,2,tunnel,NE Arc,Beta
As-12-2-2,A,SmCo,12,2,tunnel,NE Arc,Beta
Hs-12-3,H,SmCo,12,3,tunnel,NE Arc,Gamma
As-12-3-1,A,SmCo,12,3,tunnel,NE Arc,Gamma
As-12-3-2,A,SmCo,12,3,tunnel,NE Arc,Gamma
Hs-12-4,H,SmCo,12,4,tunnel,NE Arc,Alpha
As-12-4-1,A,SmCo,12,4,tunnel,NE Arc,Alpha
As-12-4-2,A,SmCo,12,4,tunnel,NE Arc,Alpha
Hs-13-1,H,SmCo,13,1,tunnel,South Linac,Alpha
As-13-1-1,A,SmCo,13,1,tunnel,South Linac,Alpha
As-13-1-2,A,SmCo,13,1,tunnel,South Linac,Alpha
Hs-13-2,H,SmCo,13,2,tunnel,South Linac,Beta
As-13-2-1,A,SmCo,13,2,tunnel,South Linac,Beta
As-13-2-2,A,SmCo,13,2,tunnel,South Linac,Beta
Hs-13-3,H,SmCo,13,3,tunnel,South Linac,Delta
As-13-3-1,A,SmCo,13,3,tunnel,South Linac,Delta
As-13-3-2,A,SmCo,13,3,tunnel,South Linac,Delta
Hs-13-4,H,SmCo,13,4,tunnel,South Linac,Gamma
As-13-4-1,A,SmCo,13,4,tunnel,South Linac,Gamma
As-13-4-2,A,SmCo,13,4,tunnel,South Linac,Gamma
Hs-14-1,H,SmCo,14,1,tunnel,NE Arc,Beta
As-14-1-1,A,SmCo,14,1,tunnel,NE Arc,Beta
As-14-1-2,A,SmCo,14,1,tunnel,NE Arc,Beta
Hs-14-2,H,SmCo,14,2,tunnel,NE Arc,Gamma
As-14-2-1,A,SmCo,14,2,tunnel,NE Arc,Gamma
As-14-2-2,A,SmCo,14,2,tunnel,NE Arc,Gamma
Hs-14-3,H,SmCo,14,3,tunnel,NE Arc,Alpha
As-14-3-1,A,SmCo,14,3,tunnel,NE Arc,Alpha
As-14-3-2,A,SmCo,14,3,tunnel,NE Arc,Alpha
Hs-14-4,H,SmCo,14,4,tunnel,NE Arc,Delta
As-14-4-1,A,SmCo,14,4,tunnel,NE Arc,Delta
As-14-4-2,A,SmCo,14,4,tunnel,NE Arc,Delta
Hs-15-1,H,SmCo,15,1,tunnel,North Linac,Gamma
As-15-1-1,A,SmCo,15,1,tunnel,North Linac,Gamma
As-15-1-2,A,SmCo,15,1,tunnel,North Linac,Gamma
Hs-15-2,H,SmCo,15,2,tunnel,North Linac,Beta
As-15-2-1,A,SmCo,15,2,tunnel,North Linac,Beta
As-15-2-2,A,SmCo,15,2,tunnel,North Linac,Beta
Hs-15-3,H,SmCo,15,3,tunnel,North Linac,Delta
As-15-3-1,A,SmCo,15,3,tunnel,North Linac,Delta
As-15-3-2,A,SmCo,15,3,tunnel,North Linac,Delta
Hs-15-4,H,SmCo,15,4,tunnel,North Linac,Alpha
As-15-4-1,A,SmCo,15,4,tunnel,North Linac,Alpha
As-15-4-2,A,SmCo,15,4,tunnel,North Linac,Alpha
Hs-16-1,H,SmCo,16,1,tunnel,NE Arc,Delta
As-16-1-1,A,SmCo,16,1,tunnel,NE Arc,Delta
As-16-1-2,A,SmCo,16,1,tunnel,NE Arc,Delta
Hs-16-2,H,SmCo,16,2,tunnel,NE Arc,Beta
As-16-2-1,A,SmCo,16,2,tunnel,NE Arc,Beta
As-16-2-2,A,SmCo,16,2,tunnel,NE Arc,Beta
Hs-16-3,H,SmCo,16,3,tunnel,NE Arc,Gamma
As-16-3-1,A,SmCo,16,3,tunnel,NE Arc,Gamma
As-16-3-2,A,SmCo,16,3,tunnel,NE Arc,Gamma
Hs-16-4,H,SmCo,16,4,tunnel,NE Arc,Alpha
As-16-4-1,A,SmCo,16,4,tunnel,NE Arc,Alpha
As-16-4-2,A,SmCo,16,4,tunnel,NE Arc,Alpha
Hs-17-1,H,SmCo,17,1,tunnel,SW Arc,Alpha
As-17-1-1,A,SmCo,17,1,tunnel,SW Arc,Alpha
As-17-1-2,A,SmCo,17,1,tunnel,SW Arc,Alpha
Hs-17-2,H,SmCo,17,2,tunnel,SW Arc,Delta
As-17-2-1,A,SmCo,17,2,tunnel,SW Arc,Delta
As-17-2-2,A,SmCo,17,2,tunnel,SW Arc,Delta
Hs-17-3,H,SmCo,17,3,tunnel,SW Arc,Gamma
As-17-3-1,A,SmCo,17,3,tunnel,SW Arc,Gamma
As-17-3-2,A,SmCo,17,3,tunnel,SW Arc,Gamma
Hs-17-4,H,SmCo,17,4,tunnel,SW Arc,Beta
As-17-4-1,A,SmCo,17,4,tunnel,SW Arc,Beta
As-17-4-2,A,SmCo,17,4,tunnel,SW Arc,Beta
Hs-18-1,H,SmCo,18,1,tunnel,South Linac,Beta
As-18-1-1,A,SmCo,18,1,tunnel,South Linac,Beta
As-18-1-2,A,SmCo,18,1,tunnel,South Linac,Beta
Hs-18-2,H,SmCo,18,2,tunnel,South Linac,Delta
As-18-2-1,A,SmCo,18,2,tunnel,South Linac,Delta
As-18-2-2,A,SmCo,18,2,tunnel,South Linac,Delta
Hs-18-3,H,SmCo,18,3,tunnel,South Linac,Gamma
As-18-3-1,A,SmCo,18,3,tunnel,South Linac,Gamma
As-18-3-2,A,SmCo,18,3,tunnel,South Linac,Gamma
Hs-18-4,H,SmCo,18,4,tunnel,South Linac,Alpha
As-18-4-1,A,SmCo,18,4,tunnel,South Linac,Alpha
As-18-4-2,A,SmCo,18,4,tunnel,South Linac,Alpha
Hs-20-1,H,SmCo,20,1,tunnel,NE Arc,Delta
As-20-1-1,A,SmCo,20,1,tunnel,NE Arc,Delta
As-20-1-2,A,SmCo,20,1,tunnel,NE Arc,Delta
Hs-20-2,H,SmCo,20,2,tunnel,NE Arc,Gamma
As-20-2-1,A,SmCo,20,2,tunnel,NE Arc,Gamma
As-20-2-2,A,SmCo,20,2,tunnel,NE Arc,Gamma
Hs-20-3,H,SmCo,20,3,tunnel,NE Arc,Alpha
As-20-3-1,A,SmCo,20,3,tunnel,NE Arc,Alpha
As-20-3-2,A,SmCo,20,3,tunnel,NE Arc,Alpha
Hs-20-4,H,SmCo,20,4,tunnel,NE Arc,Beta
As-20-4-1,A,SmCo,20,4,tunnel,NE Arc,Beta
As-20-4-2,A,SmCo,20,4,tunnel,NE Arc,Beta
Hn-1-1,H,NdFeB,1,1,lab,,Delta
An-1-1-1,A,NdFeB,1,1,lab,,Delta
An-1-1-2,A,NdFeB,1,1,lab,,Delta
Hn-1-2,H,NdFeB,1,2,lab,,Alpha
An-1-2-1,A,NdFeB,1,2,lab,,Alpha
An-1-2-2,A,NdFeB,1,2,lab,,Alpha
Hn-1-3,H,NdFeB,1,3,lab,,Beta
An-1-3-1,A,NdFeB,1,3,lab,,Beta
An-1-3-2,A,NdFeB,1,3,lab,,Beta
Hn-1-4,H,NdFeB,1,4,lab,,Gamma
An-1-4-1,A,NdFeB,1,4,lab,,Gamma
An-1-4-2,A,NdFeB,1,4,lab,,Gamma
Hn-2-1,H,NdFeB,2,1,lab,,Gamma
An-2-1-1,A,NdFeB,2,1,lab,,Gamma
An-2-1-2,A,NdFeB,2,1,lab,,Gamma
Hn-2-2,H,NdFeB,2,2,lab,,Alpha
An-2-2-1,A,NdFeB,2,2,lab,,Alpha
An-2-2-2,A,NdFeB,2,2,lab,,Alpha
Hn-2-3,H,NdFeB,2,3,lab,,Beta
An-2-3-1,A,NdFeB,2,3,lab,,Beta
An-2-3-2,A,NdFeB,2,3,lab,,Beta
Hn-2-4,H,NdFeB,2,4,lab,,Delta
An-2-4-1,A,NdFeB,2,4,lab,,Delta
An-2-4-2,A,NdFeB,2,4,lab,,Delta
Hn-3-1,H,NdFeB,3,1,lab,,Beta
An-3-1-1,A,NdFeB,3,1,lab,,Beta
An-3-1-2,A,NdFeB,3,1,lab,,Beta
Hn-3-2,H,NdFeB,3,2,lab,,Alpha
An-3-2-1,A,NdFeB,3,2,lab,,Alpha
An-3-2-2,A,NdFeB,3,2,lab,,Alpha
Hn-3-3,H,NdFeB,3,3,lab,,Gamma
An-3-3-1,A,NdFeB,3,3,lab,,Gamma
An-3-3-2,A,NdFeB,3,3,lab,,Gamma
Hn-3-4,H,NdFeB,3,4,lab,,Delta
An-3-4-1,A,NdFeB,3,4,lab,,Delta
An-3-4-2,A,NdFeB,3,4,lab,,Delta
Hn-5-1,H,NdFeB,5,1,lab,,Delta
An-5-1-1,A,NdFeB,5,1,lab,,Delta
An-5-1-2,A,NdFeB,5,1,lab,,Delta
Hn-5-2,H,NdFeB,5,2,lab,,Alpha
An-5-2-1,A,NdFeB,5,2,lab,,Alpha
An-5-2-2,A,NdFeB,5,2,lab,,Alpha
Hn-5-3,H,NdFeB,5,3,lab,,Gamma
An-5-3-1,A,NdFeB,5,3,lab,,Gamma
An-5-3-2,A,NdFeB,5,3,lab,,Gamma
Hn-5-4,H,NdFeB,5,4,lab,,Beta
An-5-4-1,A,NdFeB,5,4,lab,,Beta
An-5-4-2,A,NdFeB,5,4,lab,,Beta
Hn-7-1,H,NdFeB,7,1,lab,,Beta
An-7-1-1,A,NdFeB,7,1,lab,,Beta
An-7-1-2,A,NdFeB,7,1,lab,,Beta
Hn-7-2,H,NdFeB,7,2,lab,,Alpha
An-7-2-1,A,NdFeB,7,2,lab,,Alpha
An-7-2-2,A,NdFeB,7,2,lab,,Alpha
Hn-7-3,H,NdFeB,7,3,lab,,Delta
An-7-3-1,A,NdFeB,7,3,lab,,Delta
An-7-3-2,A,NdFeB,7,3,lab,,Delta
Hn-7-4,H,NdFeB,7,4,lab,,Gamma
An-7-4-1,A,NdFeB,7,4,lab,,Gamma
An-7-4-2,A,NdFeB,7,4,lab,,Gamma
Hn-13-1,H,NdFeB,13,1,lab,,Delta
An-13-1-1,A,NdFeB,13,1,lab,,Delta
An-13-1-2,A,NdFeB,13,1,lab,,Delta
Hn-13-2,H,NdFeB,13,2,lab,,Beta
An-13-2-1,A,NdFeB,13,2,lab,,Beta
An-13-2-2,A,NdFeB,13,2,lab,,Beta
Hn-13-3,H,NdFeB,13,3,lab,,Alpha
An-13-3-1,A,NdFeB,13,3,lab,,Alpha
An-13-3-2,A,NdFeB,13,3,lab,,Alpha
Hn-13-4,H,NdFeB,13,4,lab,,Gamma
An-13-4-1,A,NdFeB,13,4,lab,,Gamma
An-13-4-2,A,NdFeB,13,4,lab,,Gamma
Hn-14-1,H,NdFeB,14,1,lab,,Gamma
An-14-1-1,A,NdFeB,14,1,lab,,Gamma
An-14-1-2,A,NdFeB,14,1,lab,,Gamma
Hn-14-2,H,NdFeB,14,2,lab,,Beta
An-14-2-1,A,NdFeB,14,2,lab,,Beta
An-14-2-2,A,NdFeB,14,2,lab,,Beta
Hn-14-3,H,NdFeB,14,3,lab,,Delta
An-14-3-1,A,NdFeB,14,3,lab,,Delta
An-14-3-2,A,NdFeB,14,3,lab,,Delta
Hn-14-4,H,NdFeB,14,4,lab,,Alpha
An-14-4-1,A,NdFeB,14,4,lab,,Alpha
An-14-4-2,A,NdFeB,14,4,lab,,Alpha
Hn-21-1,H,NdFeB,21,1,lab,,Delta
An-21-1-1,A,NdFeB,21,1,lab,,Delta
An-21-1-2,A,NdFeB,21,1,lab,,Delta
Hn-21-2,H,NdFeB,21,2,lab,,Gamma
An-21-2-1,A,NdFeB,21,2,lab,,Gamma
An-21-2-2,A,NdFeB,21,2,lab,,Gamma
Hn-21-3,H,NdFeB,21,3,lab,,Beta
An-21-3-1,A,NdFeB,21,3,lab,,Beta
An-21-3-2,A,NdFeB,21,3,lab,,Beta
Hn-21-4,H,NdFeB,21,4,lab,,Alpha
An-21-4-1,A,NdFeB,21,4,lab,,Alpha
An-21-4-2,A,NdFeB,21,4,lab,,Alpha
Hn-22-1,H,NdFeB,22,1,lab,,Gamma
An-22-1-1,A,NdFeB,22,1,lab,,Gamma
An-22-1-2,A,NdFeB,22,1,lab,,Gamma
Hn-22-2,H,NdFeB,22,2,lab,,Delta
An-22-2-1,A,NdFeB,22,2,lab,,Delta
An-22-2-2,A,NdFeB,22,2,lab,,Delta
Hn-22-3,H,NdFeB,22,3,lab,,Beta
An-22-3-1,A,NdFeB,22,3,lab,,Beta
An-22-3-2,A,NdFeB,22,3,lab,,Beta
Hn-22-4,H,NdFeB,22,4,lab,,Alpha
An-22-4-1,A,NdFeB,22,4,lab,,Alpha
An-22-4-2,A,NdFeB,22,4,lab,,Alpha
Hn-23-1,H,NdFeB,23,1,lab,,Beta
An-23-1-1,A,NdFeB,23,1,lab,,Beta
An-23-1-2,A,NdFeB,23,1,lab,,Beta
Hn-23-2,H,NdFeB,23,2,lab,,Delta
An-23-2-1,A,NdFeB,23,2,lab,,Delta
An-23-2-2,A,NdFeB,23,2,lab,,Delta
Hn-23-3,H,NdFeB,23,3,lab,,Alpha
An-23-3-1,A,NdFeB,23,3,lab,,Alpha
An-23-3-2,A,NdFeB,23,3,lab,,Alpha
Hn-23-4,H,NdFeB,23,4,lab,,Gamma
An-23-4-1,A,NdFeB,23,4,lab,,Gamma
An-23-4-2,A,NdFeB,23,4,lab,,Gamma
Hn-25-1,H,NdFeB,25,1,lab,,Delta
An-25-1-1,A,NdFeB,25,1,lab,,Delta
An-25-1-2,A,NdFeB,25,1,lab,,Delta
Hn-25-2,H,NdFeB,25,2,lab,,Alpha
An-25-2-1,A,NdFeB,25,2,lab,,Alpha
An-25-2-2,A,NdFeB,25,2,lab,,Alpha
Hn-25-3,H,NdFeB,25,3,lab,,Beta
An-25-3-1,A,NdFeB,25,3,lab,,Beta
An-25-3-2,A,NdFeB,25,3,lab,,Beta
Hn-25-4,H,NdFeB,25,4,lab,,Gamma
An-25-4-1,A,NdFeB,25,4,lab,,Gamma
An-25-4-2,A,NdFeB,25,4,lab,,Gamma
Hn-26-1,H,NdFeB,26,1,lab,,Gamma
An-26-1-1,A,NdFeB,26,1,lab,,Gamma
An-26-1-2,A,NdFeB,26,1,lab,,Gamma
Hn-26-2,H,NdFeB,26,2,lab,,Beta
An-26-2-1,A,NdFeB,26,2,lab,,Beta
An-26-2-2,A,NdFeB,26,2,lab,,Beta
Hn-26-3,H,NdFeB,26,3,lab,,Alpha
An-26-3-1,A,NdFeB,26,3,lab,,Alpha
An-26-3-2,A,NdFeB,26,3,lab,,Alpha
Hn-26-4,H,NdFeB,26,4,lab,,Delta
An-26-4-1,A,NdFeB,26,4,lab,,Delta
An-26-4-2,A,NdFeB,26,4,lab,,Delta
Hn-27-1,H,NdFeB,27,1,lab,,Beta
An-27-1-1,A,NdFeB,27,1,lab,,Beta
An-27-1-2,A,NdFeB,27,1,lab,,Beta
Hn-27-2,H,NdFeB,27,2,lab,,Alpha
An-27-2-1,A,NdFeB,27,2,lab,,Alpha
An-27-2-2,A,NdFeB,27,2,lab,,Alpha
Hn-27-3,H,NdFeB,27,3,lab,,Gamma
An-27-3-1,A,NdFeB,27,3,lab,,Gamma
An-27-3-2,A,NdFeB,27,3,lab,,Gamma
Hn-27-4,H,NdFeB,27,4,lab,,Delta
An-27-4-1,A,NdFeB,27,4,lab,,Delta
An-27-4-2,A,NdFeB,27,4,lab,,Delta
Hn-28-1,H,NdFeB,28,1,lab,,Alpha
An-28-1-1,A,NdFeB,28,1,lab,,Alpha
An-28-1-2,A,NdFeB,28,1,lab,,Alpha
Hn-28-2,H,NdFeB,28,2,lab,,Gamma
An-28-2-1,A,NdFeB,28,2,lab,,Gamma
An-28-2-2,A,NdFeB,28,2,lab,,Gamma
Hn-28-3,H,NdFeB,28,3,lab,,Beta
An-28-3-1,A,NdFeB,28,3,lab,,Beta
An-28-3-2,A,NdFeB,28,3,lab,,Beta
Hn-28-4,H,NdFeB,28,4,lab,,Delta
An-28-4-1,A,NdFeB,28,4,lab,,Delta
An-28-4-2,A,NdFeB,28,4,lab,,Delta
Hn-29-1,H,NdFeB,29,1,lab,,Delta
An-29-1-1,A,NdFeB,29,1,lab,,Delta
An-29-1-2,A,NdFeB,29,1,lab,,Delta
Hn-29-2,H,NdFeB,29,2,lab,,Alpha
An-29-2-1,A,NdFeB,29,2,lab,,Alpha
An-29-2-2,A,NdFeB,29,2,lab,,Alpha
Hn-29-3,H,NdFeB,29,3,lab,,Gamma
An-29-3-1,A,NdFeB,29,3,lab,,Gamma
An-29-3-2,A,NdFeB,29,3,lab,,Gamma
Hn-29-4,H,NdFeB,29,4,lab,,Beta
An-29-4-1,A,NdFeB,29,4,lab,,Beta
An-29-4-2,A,NdFeB,29,4,lab,,Beta
Hn-30-1,H,NdFeB,30,1,lab,,Gamma
An-30-1-1,A,NdFeB,30,1,lab,,Gamma
An-30-1-2,A,NdFeB,30,1,lab,,Gamma
Hn-30-2,H,NdFeB,30,2,lab,,Beta
An-30-2-1,A,NdFeB,30,2,lab,,Beta
An-30-2-2,A,NdFeB,30,2,lab,,Beta
Hn-30-3,H,NdFeB,30,3,lab,,Delta
An-30-3-1,A,NdFeB,30,3,lab,,Delta
An-30-3-2,A,NdFeB,30,3,lab,,Delta
Hn-30-4,H,NdFeB,30,4,lab,,Alpha
An-30-4-1,A,NdFeB,30,4,lab,,Alpha
An-30-4-2,A,NdFeB,30,4,lab,,Alpha
Hn-31-1,H,NdFeB,31,1,lab,,Beta
An-31-1-1,A,NdFeB,31,1,lab,,Beta
An-31-1-2,A,NdFeB,31,1,lab,,Beta
Hn-31-2,H,NdFeB,31,2,lab,,Gamma
An-31-2-1,A,NdFeB,31,2,lab,,Gamma
An-31-2-2,A,NdFeB,31,2,lab,,Gamma
Hn-31-3,H,NdFeB,31,3,lab,,Delta
An-31-3-1,A,NdFeB,31,3,lab,,Delta
An-31-3-2,A,NdFeB,31,3,lab,,Delta
Hn-31-4,H,NdFeB,31,4,lab,,Alpha
An-31-4-1,A,NdFeB,31,4,lab,,Alpha
An-31-4-2,A,NdFeB,31,4,lab,,Alpha
Hn-32-1,H,NdFeB,32,1,lab,,Alpha
An-32-1-1,A,NdFeB,32,1,lab,,Alpha
An-32-1-2,A,NdFeB,32,1,lab,,Alpha
Hn-32-2,H,NdFeB,32,2,lab,,Beta
An-32-2-1,A,NdFeB,32,2,lab,,Beta
An-32-2-2,A,NdFeB,32,2,lab,,Beta
Hn-32-3,H,NdFeB,32,3,lab,,Delta
An-32-3-1,A,NdFeB,32,3,lab,,Delta
An-32-3-2,A,NdFeB,32,3,lab,,Delta
Hn-32-4,H,NdFeB,32,4,lab,,Gamma
An-32-4-1,A,NdFeB,32,4,lab,,Gamma
An-32-4-2,A,NdFeB,32,4,lab,,Gamma
Hn-33-1,H,NdFeB,33,1,lab,,Delta
An-33-1-1,A,NdFeB,33,1,lab,,Delta
An-33-1-2,A,NdFeB,33,1,lab,,Delta
Hn-33-2,H,NdFeB,33,2,lab,,Gamma
An-33-2-1,A,NdFeB,33,2,lab,,Gamma
An-33-2-2,A,NdFeB,33,2,lab,,Gamma
Hn-33-3,H,NdFeB,33,3,lab,,Beta
An-33-3-1,A,NdFeB,33,3,lab,,Beta
An-33-3-2,A,NdFeB,33,3,lab,,Beta
Hn-33-4,H,NdFeB,33,4,lab,,Alpha
An-33-4-1,A,NdFeB,33,4,lab,,Alpha
An-33-4-2,A,NdFeB,33,4,lab,,Alpha
Hn-34-1,H,NdFeB,34,1,lab,,Gamma
An-34-1-1,A,NdFeB,34,1,lab,,Gamma
An-34-1-2,A,NdFeB,34,1,lab,,Gamma
Hn-34-2,H,NdFeB,34,2,lab,,Delta
An-34-2-1,A,NdFeB,34,2,lab,,Delta
An-34-2-2,A,NdFeB,34,2,lab,,Delta
Hn-34-3,H,NdFeB,34,3,lab,,Alpha
An-34-3-1,A,NdFeB,34,3,lab,,Alpha
An-34-3-2,A,NdFeB,34,3,lab,,Alpha
Hn-34-4,H,NdFeB,34,4,lab,,Beta
An-34-4-1,A,NdFeB,34,4,lab,,Beta
An-34-4-2,A,NdFeB,34,4,lab,,Beta
Hn-35-1,H,NdFeB,35,1,lab,,Beta
An-35-1-1,A,NdFeB,35,1,lab,,Beta
An-35-1-2,A,NdFeB,35,1,lab,,Beta
Hn-35-2,H,NdFeB,35,2,lab,,Delta
An-35-2-1,A,NdFeB,35,2,lab,,Delta
An-35-2-2,A,NdFeB,35,2,lab,,Delta
Hn-35-3,H,NdFeB,35,3,lab,,Alpha
An-35-3-1,A,NdFeB,35,3,lab,,Alpha
An-35-3-2,A,NdFeB,35,3,lab,,Alpha
Hn-35-4,H,NdFeB,35,4,lab,,Gamma
An-35-4-1,A,NdFeB,35,4,lab,,Gamma
An-35-4-2,A,NdFeB,35,4,lab,,Gamma
Hn-36-1,H,NdFeB,36,1,lab,,Alpha
An-36-1-1,A,NdFeB,36,1,lab,,Alpha
An-36-1-2,A,NdFeB,36,1,lab,,Alpha
Hn-36-2,H,NdFeB,36,2,lab,,Delta
An-36-2-1,A,NdFeB,36,2,lab,,Delta
An-36-2-2,A,NdFeB,36,2,lab,,Delta
Hn-36-3,H,NdFeB,36,3,lab,,Gamma
An-36-3-1,A,NdFeB,36,3,lab,,Gamma
An-36-3-2,A,NdFeB,36,3,lab,,Gamma
Hn-36-4,H,NdFeB,36,4,lab,,Beta
An-36-4-1,A,NdFeB,36,4,lab,,Beta
An-36-4-2,A,NdFeB,36,4,lab,,Beta
Hn-38-1,H,NdFeB,38,1,lab,,Gamma
An-38-1-1,A,NdFeB,38,1,lab,,Gamma
An-38-1-2,A,NdFeB,38,1,lab,,Gamma
Hn-38-2,H,NdFeB,38,2,lab,,Alpha
An-38-2-1,A,NdFeB,38,2,lab,,Alpha
An-38-2-2,A,NdFeB,38,2,lab,,Alpha
Hn-38-3,H,NdFeB,38,3,lab,,Delta
An-38-3-1,A,NdFeB,38,3,lab,,Delta
An-38-3-2,A,NdFeB,38,3,lab,,Delta
Hn-38-4,H,NdFeB,38,4,lab,,Beta
An-38-4-1,A,NdFeB,38,4,lab,,Beta
An-38-4-2,A,NdFeB,38,4,lab,,Beta
Hn-40-1,H,NdFeB,40,1,lab,,Alpha
An-40-1-1,A,NdFeB,40,1,lab,,Alpha
An-40-1-2,A,NdFeB,40,1,lab,,Alpha
Hn-40-2,H,NdFeB,40,2,lab,,Delta
An-40-2-1,A,NdFeB,40,2,lab,,Delta
An-40-2-2,A,NdFeB,40,2,lab,,Delta
Hn-40-3,H,NdFeB,40,3,lab,,Beta
An-40-3-1,A,NdFeB,40,3,lab,,Beta
An-40-3-2,A,NdFeB,40,3,lab,,Beta
Hn-40-4,H,NdFeB,40,4,lab,,Gamma
An-40-4-1,A,NdFeB,40,4,lab,,Gamma
An-40-4-2,A,NdFeB,40,4,lab,,Gamma
Hs-8-1,H,SmCo,8,1,lab,,Delta
As-8-1-1,A,SmCo,8,1,lab,,Delta
As-8-1-2,A,SmCo,8,1,lab,,Delta
Hs-8-2,H,SmCo,8,2,lab,,Alpha
As-8-2-1,A,SmCo,8,2,lab,,Alpha
As-8-2-2,A,SmCo,8,2,lab,,Alpha
Hs-8-3,H,SmCo,8,3,lab,,Gamma
As-8-3-1,A,SmCo,8,3,lab,,Gamma
As-8-3-2,A,SmCo,8,3,lab,,Gamma
Hs-8-4,H,SmCo,8,4,lab,,Beta
As-8-4-1,A,SmCo,8,4,lab,,Beta
As-8-4-2,A,SmCo,8,4,lab,,Beta
Hs-9-1,H,SmCo,9,1,lab,,Alpha
As-9-1-1,A,SmCo,9,1,lab,,Alpha
As-9-1-2,A,SmCo,9,1,lab,,Alpha
Hs-9-2,H,SmCo,9,2,lab,,Gamma
As-9-2-1,A,SmCo,9,2,lab,,Gamma
As-9-2-2,A,SmCo,9,2,lab,,Gamma
Hs-9-3,H,SmCo,9,3,lab,,Delta
As-9-3-1,A,SmCo,9,3,lab,,Delta
As-9-3-2,A,SmCo,9,3,lab,,Delta
Hs-9-4,H,SmCo,9,4,lab,,Beta
As-9-4-1,A,SmCo,9,4,lab,,Beta
As-9-4-2,A,SmCo,9,4,lab,,Beta
Hs-11-1,H,SmCo,11,1,lab,,Gamma
As-11-1-1,A,SmCo,11,1,lab,,Gamma
As-11-1-2,A,SmCo,11,1,lab,,Gamma
Hs-11-2,H,SmCo,11,2,lab,,Beta
As-11-2-1,A,SmCo,11,2,lab,,Beta
As-11-2-2,A,SmCo,11,2,lab,,Beta
Hs-11-3,H,SmCo,11,3,lab,,Alpha
As-11-3-1,A,SmCo,11,3,lab,,Alpha
As-11-3-2,A,SmCo,11,3,lab,,Alpha
Hs-11-4,H,SmCo,11,4,lab,,Delta
As-11-4-1,A,SmCo,11,4,lab,,Delta
As-11-4-2,A,SmCo,11,4,lab,,Delta
Hs-19-1,H,SmCo,19,1,lab,,Gamma
As-19-1-1,A,SmCo,19,1,lab,,Gamma
As-19-1-2,A,SmCo,19,1,lab,,Gamma
Hs-19-2,H,SmCo,19,2,lab,,Delta
As-19-2-1,A,SmCo,19,2,lab,,Delta
As-19-2-2,A,SmCo,19,2,lab,,Delta
Hs-19-3,H,SmCo,19,3,lab,,Alpha
As-19-3-1,A,SmCo,19,3,lab,,Alpha
As-19-3-2,A,SmCo,19,3,lab,,Alpha
Hs-19-4,H,SmCo,19,4,lab,,Beta
As-19-4-1,A,SmCo,19,4,lab,,Beta
As-19-4-2,A,SmCo,19,4,lab,,Beta
Hs-21-1,H,SmCo,21,1,lab,,Alpha
As-21-1-1,A,SmCo,21,1,lab,,Alpha
As-21-1-2,A,SmCo,21,1,lab,,Alpha
Hs-21-2,H,SmCo,21,2,lab,,Delta
As-21-2-1,A,SmCo,21,2,lab,,Delta
As-21-2-2,A,SmCo,21,2,lab,,Delta
Hs-21-3,H,SmCo,21,3,lab,,Beta
As-21-3-1,A,SmCo,21,3,lab,,Beta
As-21-3-2,A,SmCo,21,3,lab,,Beta
Hs-21-4,H,SmCo,21,4,lab,,Gamma
As-21-4-1,A,SmCo,21,4,lab,,Gamma
As-21-4-2,A,SmCo,21,4,lab,,Gamma
Hs-22-1,H,SmCo,22,1,lab,,Beta
As-22-1-1,A,SmCo,22,1,lab,,Beta
As-22-1-2,A,SmCo,22,1,lab,,Beta
Hs-22-2,H,SmCo,22,2,lab,,Delta
As-22-2-1,A,SmCo,22,2,lab,,Delta
As-22-2-2,A,SmCo,22,2,lab,,Delta
Hs-22-3,H,SmCo,22,3,lab,,Alpha
As-22-3-1,A,SmCo,22,3,lab,,Alpha
As-22-3-2,A,SmCo,22,3,lab,,Alpha
Hs-22-4,H,SmCo,22,4,lab,,Gamma
As-22-4-1,A,SmCo,22,4,lab,,Gamma
As-22-4-2,A,SmCo,22,4,lab,,Gamma
Hs-23-1,H,SmCo,23,1,lab,,Gamma
As-23-1-1,A,SmCo,23,1,lab,,Gamma
As-23-1-2,A,SmCo,23,1,lab,,Gamma
Hs-23-2,H,SmCo,23,2,lab,,Delta
As-23-2-1,A,SmCo,23,2,lab,,Delta
As-23-2-2,A,SmCo,23,2,lab,,Delta
Hs-23-3,H,SmCo,23,3,lab,,Beta
As-23-3-1,A,SmCo,23,3,lab,,Beta
As-23-3-2,A,SmCo,23,3,lab,,Beta
Hs-23-4,H,SmCo,23,4,lab,,Alpha
As-23-4-1,A,SmCo,23,4,lab,,Alpha
As-23-4-2,A,SmCo,23,4,lab,,Alpha
Hs-24-1,H,SmCo,24,1,lab,,Delta
As-24-1-1,A,SmCo,24,1,lab,,Delta
As-24-1-2,A,SmCo,24,1,lab,,Delta
Hs-24-2,H,SmCo,24,2,lab,,Gamma
