#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  269  R1B6                     9309.701     8060.000    10000.000    -6159.228        0.000        0.000      941.989
  271  R1B7                     9425.761     8060.000    10000.000    -6043.168        0.000        0.000      945.739
  273  R1B8                     9500.761     8060.000    10000.000    -5968.168        0.000        0.000      949.489
  286  R1C1                     9812.581     8060.000    10000.000    -5656.348        0.000        0.000      953.239
  288  R1C2                     9887.581     8060.000    10000.000    -5581.348        0.000        0.000      956.989
  290  R1C3                    10003.641     8060.000    10000.000    -5465.288        0.000        0.000      960.739
  292  R1C4                    10078.641     8060.000    10000.000    -5390.288        0.000        0.000      964.489
  294  R1C5                    10194.701     8060.000    10000.000    -5274.228        0.000        0.000      968.239
  296  R1C6                    10269.701     8060.000    10000.000    -5199.228        0.000        0.000      971.989
  298  R1C7                    10385.761     8060.000    10000.000    -5083.168        0.000        0.000      975.739
  300  R1C8                    10460.761     8060.000    10000.000    -5008.168        0.000        0.000      979.489
  313  R1D1                    10772.580     8060.000    10000.000    -4696.349        0.000        0.000      983.239
  315  R1D2                    10847.580     8060.000    10000.000    -4621.349        0.000        0.000      986.989
  317  R1D3                    10963.640     8060.000    10000.000    -4505.289        0.000        0.000      990.739
  319  R1D4                    11038.640     8060.000    10000.000    -4430.289        0.000        0.000      994.489
  321  R1D5                    11154.700     8060.000    10000.000    -4314.229        0.000        0.000      998.239
  323  R1D6                    11229.700     8060.000    10000.000    -4239.229        0.000        0.000     1001.989
  325  R1D7                    11345.760     8060.000    10000.000    -4123.169        0.000        0.000     1005.739
  327  R1D8                    11420.760     8060.000    10000.000    -4048.169        0.000        0.000     1009.489
  342  R1E1                    11732.581     8060.000    10000.000    -3736.348        0.000        0.000     1013.239
  344  R1E2                    11807.581     8060.000    10000.000    -3661.348        0.000        0.000     1016.989
  346  R1E3                    11923.641     8060.000    10000.000    -3545.288        0.000        0.000     1020.739
  348  R1E4                    11998.641     8060.000    10000.000    -3470.288        0.000        0.000     1024.489
  350  R1E5                    12114.701     8060.000    10000.000    -3354.228        0.000        0.000     1028.239
  352  R1E6                    12189.701     8060.000    10000.000    -3279.228        0.000        0.000     1031.989
  354  R1E7                    12305.761     8060.000    10000.000    -3163.168        0.000        0.000     1035.739
  356  R1E8                    12380.761     8060.000    10000.000    -3088.168        0.000        0.000     1039.489
  369  R1F1                    12692.580     8060.000    10000.000    -2776.349        0.000        0.000     1043.239
  371  R1F2                    12767.580     8060.000    10000.000    -2701.349        0.000        0.000     1046.989
  373  R1F3                    12883.640     8060.000    10000.000    -2585.289        0.000        0.000     1050.739
  375  R1F4                    12958.640     8060.000    10000.000    -2510.289        0.000        0.000     1054.489
  377  R1F5                    13074.700     8060.000    10000.000    -2394.229        0.000        0.000     1058.239
  379  R1F6                    13149.700     8060.000    10000.000    -2319.229        0.000        0.000     1061.989
  381  R1F7                    13265.760     8060.000    10000.000    -2203.169        0.000        0.000     1065.739
  383  R1F8                    13340.760     8060.000    10000.000    -2128.169        0.000        0.000     1069.489
  396  R1G1                    13652.581     8060.000    10000.000    -1816.348        0.000        0.000     1073.239
  398  R1G2                    13727.581     8060.000    10000.000    -1741.348        0.000        0.000     1076.989
  400  R1G3                    13843.641     8060.000    10000.000    -1625.288        0.000        0.000     1080.739
  402  R1G4                    13918.641     8060.000    10000.000    -1550.288        0.000        0.000     1084.489
  404  R1G5                    14034.701     8060.000    10000.000    -1434.228        0.000        0.000     1088.239
  406  R1G6                    14109.701     8060.000    10000.000    -1359.228        0.000        0.000     1091.989
  408  R1G7                    14225.761     8060.000    10000.000    -1243.168        0.000        0.000     1095.739
  410  R1G8                    14300.761     8060.000    10000.000    -1168.168        0.000        0.000     1099.489
  423  R1H1                    14612.580     8060.000    10000.000     -856.349        0.000        0.000     1103.239
  425  R1H2                    14687.580     8060.000    10000.000     -781.349        0.000        0.000     1106.989
  427  R1H3                    14803.640     8060.000    10000.000     -665.289        0.000        0.000     1110.739
  429  R1H4                    14878.640     8060.000    10000.000     -590.289        0.000        0.000     1114.489
  431  R1H5                    14994.700     8060.000    10000.000     -474.229        0.000        0.000     1118.239
  433  R1H6                    15069.700     8060.000    10000.000     -399.229        0.000        0.000     1121.989
  435  R1H7                    15185.760     8060.000    10000.000     -283.169        0.000        0.000     1125.739
  437  R1H8                    15260.760     8060.000    10000.000     -208.169        0.000        0.000     1129.489
  452  R1I1                    15572.580     8060.000    10000.000      103.651        0.000        0.000     1133.239
  454  R1I2                    15647.580     8060.000    10000.000      178.651        0.000        0.000     1136.989
  456  R1I3                    15763.640     8060.000    10000.000      294.711        0.000        0.000     1140.739
  458  R1I4                    15838.640     8060.000    10000.000      369.711        0.000        0.000     1144.489
  460  R1I5                    15954.700     8060.000    10000.000      485.771        0.000        0.000     1148.239
  462  R1I6                    16029.700     8060.000    10000.000      560.771        0.000        0.000     1151.989
  464  R1I7                    16145.760     8060.000    10000.000      676.831        0.000        0.000     1155.739
  466  R1I8                    16220.760     8060.000    10000.000      751.831        0.000        0.000     1159.489
  479  R1J1                    16532.581     8060.000    10000.000     1063.652        0.000        0.000     1163.239
  481  R1J2                    16607.581     8060.000    10000.000     1138.652        0.000        0.000     1166.989
  483  R1J3                    16723.641     8060.000    10000.000     1254.712        0.000        0.000     1170.739
  485  R1J4                    16798.641     8060.000    10000.000     1329.712        0.000        0.000     1174.489
  487  R1J5                    16914.701     8060.000    10000.000     1445.772        0.000        0.000     1178.239
  489  R1J6                    16989.701     8060.000    10000.000     1520.772        0.000        0.000     1181.989
  491  R1J7                    17105.761     8060.000    10000.000     1636.832        0.000        0.000     1185.739
  493  R1J8                    17180.761     8060.000    10000.000     1711.832        0.000        0.000     1189.489
  506  R1K1                    17492.580     8060.000    10000.000     2023.651        0.000        0.000     1193.239
  508  R1K2                    17567.580     8060.000    10000.000     2098.651        0.000        0.000     1196.989
  510  R1K3                    17683.640     8060.000    10000.000     2214.711        0.000        0.000     1200.739
  512  R1K4                    17758.640     8060.000    10000.000     2289.711        0.000        0.000     1204.489
  514  R1K5                    17874.700     8060.000    10000.000     2405.771        0.000        0.000     1208.239
  516  R1K6                    17949.700     8060.000    10000.000     2480.771        0.000        0.000     1211.989
  518  R1K7                    18065.760     8060.000    10000.000     2596.831        0.000        0.000     1215.739
  520  R1K8                    18140.760     8060.000    10000.000     2671.831        0.000        0.000     1219.489
  533  R1L1                    18452.581     8060.000    10000.000     2983.652        0.000        0.000     1223.239
  535  R1L2                    18527.581     8060.000    10000.000     3058.652        0.000        0.000     1226.989
  537  R1L3                    18643.641     8060.000    10000.000     3174.712        0.000        0.000     1230.739
  539  R1L4                    18718.641     8060.000    10000.000     3249.712        0.000        0.000     1234.489
  541  R1L5                    18834.701     8060.000    10000.000     3365.772        0.000        0.000     1238.239
  543  R1L6                    18909.701     8060.000    10000.000     3440.772        0.000        0.000     1241.989
  545  R1L7                    19025.761     8060.000    10000.000     3556.832        0.000        0.000     1245.739
  547  R1L8                    19100.761     8060.000    10000.000     3631.832        0.000        0.000     1249.489
  562  R1M1                    19427.020     8060.000    10000.000     3958.091        0.000        0.000     1261.989
  564  R1M2                    19526.920     8060.000    10000.000     4057.991        0.000        0.000     1274.489
  566  R1M3                    19626.820     8060.000    10000.000     4157.891        0.000        0.000     1286.989
  568  R1M4                    19726.720     8060.000    10000.000     4257.791        0.000        0.000     1299.489
  570  R1M5                    19826.620     8060.000    10000.000     4357.691        0.000        0.000     1311.989
  572  R1M6                    19926.520     8060.000    10000.000     4457.591        0.000        0.000     1324.489
  574  R1M7                    20026.420     8060.000    10000.000     4557.491        0.000        0.000     1336.989
  576  R1M8                    20126.320     8060.000    10000.000     4657.391        0.000        0.000     1349.489
  587  R1N1                    20437.862     8060.000    10000.000     4918.091        0.000        0.000     1361.989
  589  R1N2                    20537.762     8060.000    10000.000     5017.991        0.000        0.000     1374.489
  591  R1N3                    20637.662     8060.000    10000.000     5117.891        0.000        0.000     1386.989
  593  R1N4                    20737.562     8060.000    10000.000     5217.791        0.000        0.000     1399.489
  595  R1N5                    20837.462     8060.000    10000.000     5317.691        0.000        0.000     1411.989
  597  R1N6                    20937.362     8060.000    10000.000     5417.591        0.000        0.000     1424.489
  599  R1N7                    21037.262     8060.000    10000.000     5517.491        0.000        0.000     1436.989
  601  R1N8                    21137.162     8060.000    10000.000     5617.391        0.000        0.000     1449.489
  612  R1O1                    21448.704     8060.000    10000.000     5878.091        0.000        0.000     1461.989
  614  R1O2                    21548.604     8060.000    10000.000     5977.991        0.000        0.000     1474.489
  616  R1O3                    21648.504     8060.000    10000.000     6077.891        0.000        0.000     1486.989
  618  R1O4                    21748.404     8060.000    10000.000     6177.791        0.000        0.000     1499.489
  620  R1O5                    21848.304     8060.000    10000.000     6277.691        0.000        0.000     1511.989
  622  R1O6                    21948.204     8060.000    10000.000     6377.591        0.000        0.000     1524.489
  624  R1O7                    22048.104     8060.000    10000.000     6477.491        0.000        0.000     1536.989
  626  R1O8                    22148.004     8060.000    10000.000     6577.391        0.000        0.000     1549.489
  637  R1P1                    22459.547     8060.000    10000.000     6838.092        0.000        0.000     1561.989
  639  R1P2                    22559.447     8060.000    10000.000     6937.992        0.000        0.000     1574.489
  641  R1P3                    22659.347     8060.000    10000.000     7037.892        0.000        0.000     1586.989
  643  R1P4                    22759.247     8060.000    10000.000     7137.792        0.000        0.000     1599.489
  645  R1P5                    22859.147     8060.000    10000.000     7237.692        0.000        0.000     1611.989
  647  R1P6                    22959.047     8060.000    10000.000     7337.592        0.000        0.000     1624.489
  649  R1P7                    23058.947     8060.000    10000.000     7437.492        0.000        0.000     1636.989
  651  R1P8                    23158.847     8060.000    10000.000     7537.392        0.000        0.000     1649.489
  662  R1Q1                    23470.389     8060.000    10000.000     7798.092        0.000        0.000     1661.989
  664  R1Q2                    23570.289     8060.000    10000.000     7897.992        0.000        0.000     1674.489
  666  R1Q3                    23670.189     8060.000    10000.000     7997.892        0.000        0.000     1686.989
  668  R1Q4                    23770.089     8060.000    10000.000     8097.792        0.000        0.000     1699.489
  670  R1Q5                    23869.989     8060.000    10000.000     8197.692        0.000        0.000     1711.989
  672  R1Q6                    23969.889     8060.000    10000.000     8297.592        0.000        0.000     1724.489
  674  R1Q7                    24069.789     8060.000    10000.000     8397.492        0.000        0.000     1736.989
  676  R1Q8                    24169.689     8060.000    10000.000     8497.392        0.000        0.000     1749.489
  699  END                     24624.759     8060.000    10000.000     8901.619        0.000        0.000     1749.489
