#N 	Name 	S[cm] 	L[cm] 	B[kG] 	G[kG/cm]   S[kG/cm/cm] 	Tilt[deg] 	Tilt_out 	BendAng[deg]
101 	R155 	3474.7 	50   D_E[MeV]=3.75  E_out[MeV]=758.239
102 	D108 	3499.7 	25  
103 	R156 	3549.7 	50   D_E[MeV]=3.75  E_out[MeV]=761.989
104 	D109 	3615.76 	66.06  
105 	R157 	3665.76 	50   D_E[MeV]=3.75  E_out[MeV]=765.739
106 	D108 	3690.76 	25  
107 	R158 	3740.76 	50   D_E[MeV]=3.75  E_out[MeV]=769.489
108 	D113 	3806.09 	65.331  
109 	ITV1L06 	3806.09 	0   	0 	0 	0 	0
110 	D114 	3818.03 	11.938  
111 	MAT1L06H 	3818.03 	1e-006 	0 	0 	0 	0
112 	D112 	3857.98 	39.9466  
113 	IPM1L06 	3857.98 	0   	0 	0 	0 	0
114 	D105 	3859.82 	1.84751  
115 	MQ1L06A 	3869.82 	10 	0 	0.696358 	0 	0
116 	D106 	3879.82 	10  
117 	MQ1L06B 	3899.82 	20 	0 	-0.693847 	0 	0
118 	D106 	3909.82 	10  
119 	MQ1L06C 	3919.82 	10 	0 	0.691628 	0 	0
120 	D105 	3921.67 	1.84751  
121 	D107 	4002.58 	80.91  
122 	R161 	4052.58 	50   D_E[MeV]=3.75  E_out[MeV]=773.239
123 	D108 	4077.58 	25  
124 	R162 	4127.58 	50   D_E[MeV]=3.75  E_out[MeV]=776.989
125 	D109 	4193.64 	66.06  
126 	R163 	4243.64 	50   D_E[MeV]=3.75  E_out[MeV]=780.739
127 	D108 	4268.64 	25  
128 	R164 	4318.64 	50   D_E[MeV]=3.75  E_out[MeV]=784.489
129 	D109 	4384.7 	66.06  
130 	R165 	4434.7 	50   D_E[MeV]=3.75  E_out[MeV]=788.239
131 	D108 	4459.7 	25  
132 	R166 	4509.7 	50   D_E[MeV]=3.75  E_out[MeV]=791.989
133 	D109 	4575.76 	66.06  
134 	R167 	4625.76 	50   D_E[MeV]=3.75  E_out[MeV]=795.739
135 	D108 	4650.76 	25  
136 	R168 	4700.76 	50   D_E[MeV]=3.75  E_out[MeV]=799.489
137 	D110 	4800 	99.239  
138 	MAT1L07V 	4800 	1e-006 	0 	0 	0 	90
139 	D104 	4817.98 	17.9756  
140 	IPM1L07 	4817.98 	0   	0 	0 	0 	0
141 	D105 	4819.82 	1.84751  
142 	MQ1L07A 	4829.82 	10 	0 	0.723489 	0 	0
143 	D106 	4839.82 	10  
144 	MQ1L07B 	4859.82 	20 	0 	-0.72088 	0 	0
145 	D106 	4869.82 	10  
146 	MQ1L07C 	4879.82 	10 	0 	0.718575 	0 	0
147 	D105 	4881.67 	1.84751  
148 	D107 	4962.58 	80.91  
149 	R171 	5012.58 	50   D_E[MeV]=3.75  E_out[MeV]=803.239
150 	D108 	5037.58 	25  
151 	R172 	5087.58 	50   D_E[MeV]=3.75  E_out[MeV]=806.989
152 	D109 	5153.64 	66.06  
153 	R173 	5203.64 	50   D_E[MeV]=3.75  E_out[MeV]=810.739
154 	D108 	5228.64 	25  
155 	R174 	5278.64 	50   D_E[MeV]=3.75  E_out[MeV]=814.489
156 	D109 	5344.7 	66.06  
157 	R175 	5394.7 	50   D_E[MeV]=3.75  E_out[MeV]=818.239
158 	D108 	5419.7 	25  
159 	R176 	5469.7 	50   D_E[MeV]=3.75  E_out[MeV]=821.989
160 	D109 	5535.76 	66.06  
161 	R177 	5585.76 	50   D_E[MeV]=3.75  E_out[MeV]=825.739
162 	D108 	5610.76 	25  
163 	R178 	5660.76 	50   D_E[MeV]=3.75  E_out[MeV]=829.489
164 	D115 	5738.03 	77.2679  
165 	MAT1L08H 	5738.03 	1e-006 	0 	0 	0 	0
166 	D112 	5777.98 	39.9466  
167 	IPM1L08 	5777.98 	0   	0 	0 	0 	0
168 	D105 	5779.82 	1.84751  
169 	MQ1L08A 	5789.82 	10 	0 	0.75062 	0 	0
170 	D106 	5799.82 	10  
171 	MQ1L08B 	5819.82 	20 	0 	-0.747913 	0 	0
172 	D106 	5829.82 	10  
173 	MQ1L08C 	5839.82 	10 	0 	0.745521 	0 	0
174 	D105 	5841.67 	1.84751  
175 	D107 	5922.58 	80.91  
176 	R181 	5972.58 	50   D_E[MeV]=3.75  E_out[MeV]=833.239
177 	D108 	5997.58 	25  
178 	R182 	6047.58 	50   D_E[MeV]=3.75  E_out[MeV]=836.989
179 	D109 	6113.64 	66.06  
180 	R183 	6163.64 	50   D_E[MeV]=3.75  E_out[MeV]=840.739
181 	D108 	6188.64 	25  
182 	R184 	6238.64 	50   D_E[MeV]=3.75  E_out[MeV]=844.489
183 	D109 	6304.7 	66.06  
184 	R185 	6354.7 	50   D_E[MeV]=3.75  E_out[MeV]=848.239
185 	D108 	6379.7 	25  
186 	R186 	6429.7 	50   D_E[MeV]=3.75  E_out[MeV]=851.989
187 	D109 	6495.76 	66.06  
188 	R187 	6545.76 	50   D_E[MeV]=3.75  E_out[MeV]=855.739
189 	D108 	6570.76 	25  
190 	R188 	6620.76 	50   D_E[MeV]=3.75  E_out[MeV]=859.489
191 	D116 	6720 	99.2401  
192 	MAT1L09V 	6720 	1e-006 	0 	0 	0 	90
193 	D104 	6737.98 	17.9756  
194 	IPM1L09 	6737.98 	0   	0 	0 	0 	0
195 	D105 	6739.82 	1.84751  
196 	MQ1L09A 	6749.82 	10 	0 	0.777751 	0 	0
197 	D106 	6759.82 	10  
198 	MQ1L09B 	6779.82 	20 	0 	-0.774946 	0 	0
199 	D106 	6789.82 	10  
200 	MQ1L09C 	6799.82 	10 	0 	0.772468 	0 	0
201 	D105 	6801.67 	1.84751  
202 	D107 	6882.58 	80.91  
203 	R191 	6932.58 	50   D_E[MeV]=3.75  E_out[MeV]=863.239
204 	D108 	6957.58 	25  
205 	R192 	7007.58 	50   D_E[MeV]=3.75  E_out[MeV]=866.989
206 	D109 	7073.64 	66.06  
207 	R193 	7123.64 	50   D_E[MeV]=3.75  E_out[MeV]=870.739
208 	D108 	7148.64 	25  
209 	R194 	7198.64 	50   D_E[MeV]=3.75  E_out[MeV]=874.489
210 	D109 	7264.7 	66.06  
211 	R195 	7314.7 	50   D_E[MeV]=3.75  E_out[MeV]=878.239
212 	D108 	7339.7 	25  
213 	R196 	7389.7 	50   D_E[MeV]=3.75  E_out[MeV]=881.989
214 	D109 	7455.76 	66.06  
215 	R197 	7505.76 	50   D_E[MeV]=3.75  E_out[MeV]=885.739
216 	D108 	7530.76 	25  
217 	R198 	7580.76 	50   D_E[MeV]=3.75  E_out[MeV]=889.489
218 	D117 	7646.27 	65.5081  
219 	ITV1L10 	7646.27 	0   	0 	0 	0 	0
220 	D118 	7658.03 	11.7598  
221 	MAT1L10H 	7658.03 	1e-006 	0 	0 	0 	0
222 	D112 	7697.98 	39.9466  
223 	IPM1L10 	7697.98 	0   	0 	0 	0 	0
224 	D105 	7699.82 	1.84751  
225 	MQ1L10A 	7709.82 	10 	0 	0.804882 	0 	0
226 	D106 	7719.82 	10  
227 	MQ1L10B 	7739.82 	20 	0 	-0.801979 	0 	0
228 	D106 	7749.82 	10  
229 	MQ1L10C 	7759.82 	10 	0 	0.799414 	0 	0
230 	D105 	7761.67 	1.84751  
231 	D107 	7842.58 	80.91  
232 	R1A1 	7892.58 	50   D_E[MeV]=3.75  E_out[MeV]=893.239
233 	D108 	7917.58 	25  
234 	R1A2 	7967.58 	50   D_E[MeV]=3.75  E_out[MeV]=896.989
235 	D109 	8033.64 	66.06  
236 	R1A3 	8083.64 	50   D_E[MeV]=3.75  E_out[MeV]=900.739
237 	D108 	8108.64 	25  
238 	R1A4 	8158.64 	50   D_E[MeV]=3.75  E_out[MeV]=904.489
239 	D109 	8224.7 	66.06  
240 	R1A5 	8274.7 	50   D_E[MeV]=3.75  E_out[MeV]=908.239
241 	D108 	8299.7 	25  
242 	R1A6 	8349.7 	50   D_E[MeV]=3.75  E_out[MeV]=911.989
243 	D109 	8415.76 	66.06  
244 	R1A7 	8465.76 	50   D_E[MeV]=3.75  E_out[MeV]=915.739
245 	D108 	8490.76 	25  
246 	R1A8 	8540.76 	50   D_E[MeV]=3.75  E_out[MeV]=919.489
247 	D116 	8640 	99.2401  
248 	MAT1L11V 	8640 	1e-006 	0 	0 	0 	90
249 	D104 	8657.98 	17.9756  
