plate,plate_label,region,sub_location,line,ai_photon_rem,ai_photon_gy,ai_neutron_rem,ai_sigma_photon_rem,osl_body_mrem,osl_photon_mrem,osl_neutron_mrem,osl_n_saturated,osl_is_lower_bound,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff
15,Y-15,SE Arc,upstream Girder 27,1,1173.99,11.7399,19.52,0.0,1193510.0,1173990.0,19520.0,0,False,-0.1814539881685742,0.019740469655421797,0.13579328379797084,-0.020297998524463196,-0.0808567592565762,0.057747642636753825,-0.13860440189333004
3,Y-3,SE Arc,upstream Girder 27,2,1728.798,17.28798,21.770000000000003,0.0,2750568.0,1728384.0,21770.0,1,True,-0.07134093098470436,-0.035451421527745296,0.09562032867281131,-0.08998055894762406,-0.05339617625622482,0.002819884862593623,-0.056216061118818446
23,Y-23,SE Arc,upstream Girder 27,3,4188.529,41.885290000000005,31.8,117.03999999999996,4299449.0,1027440.0,31800.0,3,True,-0.05617648347534183,0.030065801098546837,-0.06077516355597444,0.0012012626194179512,-0.013055341188397495,-0.029786950468278246,0.016731609279880752
26,Y-26,SE Arc,upstream Girder 27,4,1702.3239999999998,17.023239999999998,24.229999999999997,0.0,1726554.0,1411640.0,24230.0,0,False,0.11279304883889014,0.16268470481941766,0.04222445632594887,0.1571787713492406,0.1377388768291539,0.09970161383759474,0.038037262991559156
40,Y-40,SE Arc,upstream Girder 27,5,1371.6600000000003,13.716600000000003,21.730000000000004,0.0,1393390.0,1319775.0,21730.0,0,False,0.054896116230975976,0.04302380723343804,nan,0.10468748780956592,0.04895996173220701,0.10468748780956592,-0.05572752607735892
39,Y-39,NE Arc,above JD3A06,1,6965.507,69.65507,15.03,787.3599999999999,3197657.0,2152023.0,15030.0,1,True,-0.6923298296940702,-0.40002573846041717,0.4738843816982015,-0.24662254752221235,-0.5461777840772437,0.11363091708799458,-0.6598087011652383
7,Y-7,NE Arc,above JD3A06,2,47207.029,472.07029000000006,19.800000000000004,10340.99054781573,6547939.0,1526744.0,19800.0,5,True,-0.3354879555192911,-0.32359096672827387,-0.04302591158770482,-0.10890206253771338,-0.3295394611237825,-0.0759639870627091,-0.2535754740610734
18,Y-18,NE Arc,above JD3A06,3,67814.245,678.1424499999999,27.3,7529.520726876499,6903455.0,875361.0,27300.0,6,True,-0.2718084447234373,-0.08831293451439638,0.014058910152489747,-0.28712526347882794,-0.18006068961891683,-0.1365331766631691,-0.04352751295574772
21,Y-21,NE Arc,above JD3A06,4,166508.36700000003,1665.0836700000002,12.870000000000001,50372.51009492028,7508147.0,494551.0,12870.0,7,True,-0.14980085459893566,-0.06619745303289275,-0.006970976716604411,0.03538101226906862,-0.10799915381591421,0.014205017776232103,-0.12220417159214632
9,Y-9,NE Arc,above JD3A06,5,164028.409,1640.28409,10.129999999999999,29197.58809952383,7534059.0,501300.0,10130.0,7,True,-0.08869416186733442,-0.27886284826292285,0.08636341493432127,-0.15451512532765113,-0.18377850506512863,-0.03407585519666493,-0.1497026498684637
38,Y-38,NW Arc,above MJC4A24,1,962.783,9.627830000000001,8.15,0.0,970933.0,961201.0,8150.0,0,False,-0.2184371353302425,-0.25662475904746324,0.34519009926485417,0.03052321461534064,-0.23753094718885287,0.1878566569400974,-0.42538760412895027
6,Y-6,NW Arc,above MJC4A24,2,44087.066000000006,440.87066000000004,13.489999999999998,8751.678952925293,6125186.0,1110931.0,13490.0,5,True,-0.22243524645965082,-0.020210773889848335,0.13513023671683178,0.1123495160712494,-0.12132301017474958,0.12373987639404059,-0.24506288656879016
36,Y-36,NW Arc,above MJC4A24,3,94606.70499999999,946.0670499999999,9.55,29132.5200407422,6371355.0,361079.0,9550.0,6,True,-0.08635675248205817,-0.05283597623788458,0.2826943735255929,-0.011389952343625356,-0.06959636435997138,0.13565221059098378,-0.20524857495095516
25,Y-25,NW Arc,above MJC4A24,4,151626.26433333333,1516.2626433333332,8.72,52393.27724693378,6528261.0,519119.0,8720.0,6,True,-0.1646396050262246,-0.008273811513760273,0.13672966193126157,-0.11421681068072102,-0.08645670826999244,0.011256425625270274,-0.0977131338952627
34,Y-34,NW Arc,above MJC4A24,5,50220.001,502.20000999999996,9.160000000000002,1627.9199999999996,6569021.0,559645.0,9160.0,6,True,-0.07792211369849589,nan,0.00391486183467642,0.03244685420235655,-0.07792211369849589,0.018180858018516488,-0.09610297171701238
13,Y-13,SW Arc,above MJC4A14,1,2998.3590000000004,29.983590000000003,24.04,0.0,3022399.0,2998359.0,24040.0,0,False,-0.6408099315508462,-0.5416668574813034,-0.3451484497200901,-0.4487244867609672,-0.5912383945160748,-0.39693646824052864,-0.1943019262755462
32,Y-32,SW Arc,above MJC4A14,2,34889.765,348.89765,30.130000000000003,2447.1199999999985,6190535.0,1160210.0,30130.0,5,True,-0.37509783729586493,-0.32785367645927854,0.02704880539084827,-0.1915392604914119,-0.3514757568775717,-0.08224522755028181,-0.2692305293272899
19,Y-19,SW Arc,above MJC4A14,3,94127.64099999999,941.2764099999999,3282.103333333333,8864.051887893515,6657281.0,646143.0,7880.0,6,True,-0.3436426376434173,-0.22561508893408858,-0.044818227950819446,-0.06071091050822498,-0.2846288632887529,-0.05276456922952222,-0.2318642940592307
10,Y-10,SW Arc,above MJC4A14,4,127580.54000000001,1275.8054000000002,1507.1273333333334,16533.54844036652,6566550.0,522488.0,13630.0,6,True,0.010171138432702929,0.1123713248285921,0.08128242151510233,0.06381022292777791,0.061271231630647516,0.07254632222144011,-0.011275090590792597
11,Y-11,SW Arc,above MJC4A14,5,51711.703,517.11703,21.200000000000003,1943.6000000000017,6544923.0,513957.0,21200.0,6,True,0.056279278377321225,0.10180376545726462,0.08351177859886273,0.007407690473384371,0.07904152191729293,0.04545973453612355,0.033581787381169376
12,Y-12,Labyrinth,North Access Labyrinth,0,31.251000000000005,0.31251000000000007,1028.4299999999998,0.0,59681.0,31251.0,28430.0,0,False,-0.05016912848201637,0.09295154999129632,-0.0016829523765206555,0.10455546007827915,0.021391210754639973,0.05143625385087925,-0.030045043096239277
17,Y-17,North Linac,NL NDX @ Girder 5,0,711100.6693333333,7111.006693333333,47406.70955555555,107476.09299522387,13000114.0,114.0,0.0,13,True,-0.03478045164959658,0.3534154547408909,0.09083306964814673,0.07099585721189113,0.15931750154564717,0.08091446343001893,0.07840303811562824
4,Y-4,North Linac,NL Inj/Ret Crossover (0L05 NDX),0,859.631,8.59631,54.169999999999995,0.0,913801.0,675746.0,54170.0,0,False,-0.2441397545317173,0.14636066967701672,0.015279250135923088,0.45294402026325165,-0.04888954242735029,0.23411163519958736,-0.28300117762693766
16,Y-16,North Linac,NL NDX @ Girder 23,0,1583734.6686666666,15837.346686666666,105445.75111111111,267915.9882059416,13143598.0,50709.0,27970.0,13,True,0.030225790584619504,0.09995740258832114,0.13345585924434597,0.1304917011663795,0.06509159658647032,0.13197378020536274,-0.06688218361889242
22,Y-22,North Linac,NL NDX @ Girder 26,0,2345143.281,23451.43281,156342.88333333336,295042.4036925889,13078025.0,43623.0,10100.0,13,True,0.05621992661329212,0.13497962278000747,0.038448034373436295,0.2870244396120169,0.09559977469664979,0.1627362369927266,-0.06713646229607681
20,Y-20,Labyrinth,South Access Labyrinth,0,107.311,1.07311,19.29,0.0,126601.0,107311.0,19290.0,0,False,-0.11899040053699528,-0.01722361373319008,0.11405674832501753,-0.06819838797048737,-0.06810700713509268,0.022929180177265078,-0.09103618731235777
24,Y-24,South Linac,SL NDX @ Girder 4,0,629926.1323333334,6299.261323333334,41250.91488888889,90282.98302347591,14019799.0,39.0,19760.0,14,True,0.02823247384859511,0.14290887947941192,0.048573620592294676,0.15013976717401717,0.08557067666400352,0.09935669388315592,-0.013786017219152402
5,Y-5,South Linac,SL NDX @ Girder 6,0,3704.5429999999997,37.045429999999996,49.230000000000004,500.0,8468608.0,1090596.0,55540.0,6,True,0.07987118921434333,0.09221256143847356,0.44074475988679007,0.08202697354889485,0.08604187532640845,0.2613858667178425,-0.17534399139143403
1,Y-1,South Linac,SL NDX @ Girder 23,0,1471398.8,14713.988000000001,98091.72666666668,170753.29958488152,11149034.0,117599.0,1830.0,11,True,0.09045314338307371,-0.04139545100751912,0.269548031697693,0.059510049508405966,0.024528846187777297,0.16452904060304946,-0.14000019441527217
30,Y-30,South Linac,SL NDX @ Girder 25,0,2210156.321666667,22101.56321666667,147342.6211111111,231393.9670178867,11181769.0,51023.0,1850.0,11,True,-0.20007601437983608,-0.12386134778481278,-0.18185908967136194,-0.03547934606626569,-0.16196868108232443,-0.10866921786881381,-0.05329946321351062
