 2024-11-07	15:20:55	XNoDosimeter	RNoRod	+1.0829 mWC 

 2025-03-12	10:33:01	XA005786444	R-10	1337 nonunits
 2025-03-25	10:06:43	XA00595577W	R-99	1337 nonunits
 2025-04-08	09:55:32	XA01431915D	R-200	1337 nonunits
 2025-04-23	11:36:39	XA00789617W	R-231	1337 nonunits
 2025-05-07	11:49:34	XA00155226L	R-291	+1.0829 mWC 

 2025-05-21	13:12:14	XA00121087R	R-368	
 2025-05-21	13:13:01	XA00121087R	R-368	1337 nonunits
 2025-06-17	12:08:35	XA00832252Q	R-408	1337 nonunits
 2025-07-02	10:48:04	XA00311915K	R-474	1337 nonunits
