plate,date,photon_cum_rem,sigma_p_rem,neutron_cum_rem,sigma_n_rem,days_since_install
Y-3,2025-04-23,522.735,0.0,5.86,0.0,103.0
Y-3,2025-05-21,548.4449999999999,0.0,6.08,0.0,131.0
Y-3,2025-07-30,1510.4189999999999,0.0,20.57,0.0,201.0
Y-3,2025-08-27,1710.321,0.0,21.740000000000002,0.0,229.0
Y-3,2025-10-21,1728.788,0.0,21.770000000000003,0.0,243.0
Y-3,2026-01-08,1728.798,0.0,21.770000000000003,0.0,363.0
Y-4,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-4,2025-05-07,331.737,0.0,36.74999999999999,0.0,117.0
Y-4,2025-05-21,370.29,0.0,38.35999999999999,0.0,131.0
Y-4,2025-06-11,445.314,0.0,40.68999999999999,0.0,152.0
Y-4,2025-07-17,593.5459999999999,0.0,46.78999999999999,0.0,188.0
Y-4,2025-08-27,821.7909999999999,0.0,52.64999999999999,0.0,229.0
Y-4,2025-10-21,859.603,0.0,54.169999999999995,0.0,243.0
Y-4,2026-01-12,859.631,0.0,54.169999999999995,0.0,367.0
Y-5,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-5,2025-04-23,1426.2649999999999,0.0,21.240000000000002,0.0,103.0
Y-5,2025-05-07,1706.3709999999999,0.0,22.110000000000003,0.0,117.0
Y-5,2025-07-30,1977.9579999999999,0.0,44.71000000000001,0.0,201.0
Y-5,2025-08-27,3477.9579999999996,500.0,48.010000000000005,0.0,229.0
Y-5,2025-10-21,3704.517,500.0,49.230000000000004,0.0,243.0
Y-5,2026-01-12,3704.5429999999997,500.0,49.230000000000004,0.0,367.0
Y-6,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-6,2025-05-07,202.02299999999997,0.0,3.3400000000000003,0.0,117.0
Y-6,2025-05-21,1111.6879999999999,0.0,3.58,0.0,131.0
Y-6,2025-06-17,4404.968,702.24,4.68,0.0,152.0
Y-6,2025-07-17,12896.088,1776.8800000000006,9.5,0.0,188.0
Y-6,2025-08-27,41506.658,8677.198952925293,13.2,0.0,229.0
Y-6,2025-10-23,44087.058000000005,8751.678952925293,13.489999999999998,0.0,243.0
Y-6,2026-01-08,44087.066000000006,8751.678952925293,13.489999999999998,0.0,363.0
Y-7,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-7,2025-05-07,549.019,0.0,16.490000000000002,0.0,117.0
Y-7,2025-05-21,1528.1390000000001,0.0,17.17,0.0,131.0
Y-7,2025-06-11,5576.859,1010.8000000000002,17.76,0.0,152.0
Y-7,2025-07-17,14589.339,2138.6400000000003,19.070000000000004,0.0,188.0
Y-7,2025-08-27,44626.629,10053.71054781573,19.740000000000006,0.0,229.0
Y-7,2025-10-23,47207.029,10340.99054781573,19.800000000000004,0.0,243.0
Y-7,2026-01-08,47207.029,10340.99054781573,19.800000000000004,0.0,363.0
Y-9,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-9,2025-05-07,523.918,0.0,6.73,0.0,117.0
Y-9,2025-05-21,3434.1580000000004,106.40000000000009,7.510000000000001,0.0,131.0
Y-9,2025-06-11,32890.128000000004,8063.516327420381,8.24,0.0,152.0
Y-9,2025-07-17,89531.988,17640.24978623122,9.459999999999999,0.0,188.0
Y-9,2025-08-27,153787.198,28420.86809952383,9.95,0.0,229.0
Y-9,2025-10-23,164028.39800000002,29197.58809952383,10.129999999999999,0.0,243.0
Y-9,2026-01-08,164028.409,29197.58809952383,10.129999999999999,0.0,363.0
Y-10,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-10,2024-11-20,0.15,0.0,0.0,0.0,61.0
Y-10,2025-05-07,552.9110000000001,0.0,2.0900000000000003,0.0,117.0
Y-10,2025-07-30,77811.401,8595.156787428406,1507.1273333333334,55.178666666666686,201.0
Y-10,2025-08-27,121095.251,16256.908440366522,1507.1273333333334,55.178666666666686,229.0
Y-10,2025-10-29,127580.531,16533.54844036652,1507.1273333333334,55.178666666666686,243.0
Y-10,2026-01-12,127580.54000000001,16533.54844036652,1507.1273333333334,55.178666666666686,367.0
Y-11,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-11,2025-05-07,523.723,0.0,1.56,0.0,117.0
Y-11,2025-07-30,26097.563000000002,1053.360000000001,21.200000000000003,0.0,201.0
Y-11,2025-08-27,48322.663,1230.7200000000016,21.200000000000003,0.0,229.0
Y-11,2025-10-29,51711.703,1943.6000000000017,21.200000000000003,0.0,243.0
Y-11,2026-01-12,51711.703,1943.6000000000017,21.200000000000003,0.0,367.0
Y-12,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-12,2025-05-07,11.602,0.0,1018.3199999999999,0.0,117.0
Y-12,2025-05-21,13.514000000000001,0.0,1023.26,0.0,131.0
Y-12,2025-06-11,16.132,0.0,1024.87,0.0,152.0
Y-12,2025-07-17,21.665000000000003,0.0,1026.7199999999998,0.0,188.0
Y-12,2025-08-27,29.926000000000002,0.0,1028.2899999999997,0.0,229.0
Y-12,2025-10-21,31.238000000000003,0.0,1028.4299999999998,0.0,243.0
Y-12,2026-01-12,31.251000000000005,0.0,1028.4299999999998,0.0,367.0
Y-13,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-13,2025-05-07,75.134,0.0,2.23,0.0,117.0
Y-13,2025-07-30,2303.7070000000003,0.0,24.04,0.0,201.0
Y-13,2025-08-27,2874.952,0.0,24.04,0.0,229.0
Y-13,2025-10-29,2998.3520000000003,0.0,24.04,0.0,243.0
Y-13,2026-01-12,2998.3590000000004,0.0,24.04,0.0,367.0
Y-15,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-15,2025-04-23,174.08,0.0,4.86,0.0,103.0
Y-15,2025-05-21,189.864,0.0,5.08,0.0,131.0
Y-15,2025-07-30,1036.196,0.0,18.43,0.0,201.0
Y-15,2025-08-27,1158.018,0.0,19.49,0.0,229.0
Y-15,2025-10-21,1173.984,0.0,19.52,0.0,243.0
Y-15,2026-01-08,1173.99,0.0,19.52,0.0,363.0
Y-16,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-16,2025-05-07,487260.16333333333,88178.808347691,32347.45488888889,5862.981889846065,117.0
Y-16,2025-05-21,596966.9166666666,117576.25883231334,39661.23844444445,7822.811922154222,131.0
Y-16,2025-06-11,752963.2166666667,143918.43143146444,50060.99177777778,9578.956762097629,152.0
Y-16,2025-06-17,752963.2166666667,143918.43143146444,50060.99177777778,9578.956762097629,152.0
Y-16,2025-07-17,1096822.4966666666,188934.42617035424,72984.94377777778,12580.023078023614,188.0
Y-16,2025-08-27,1473281.2466666666,234320.66946265043,98082.19377777778,15605.77263084336,229.0
Y-16,2025-10-21,1583734.6066666667,267915.9882059416,105445.75111111111,17845.460547062772,243.0
Y-16,2026-01-12,1583734.6686666666,267915.9882059416,105445.75111111111,17845.460547062772,367.0
Y-17,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-17,2025-05-07,318552.98,36424.429501090824,21236.86533333333,2428.2953000727216,117.0
Y-17,2025-05-21,370411.19,43560.185977099514,24694.07933333333,2904.012398473301,131.0
Y-17,2025-06-11,445459.95999999996,55802.85616330073,29697.330666666665,3720.190410886715,152.0
Y-17,2025-07-17,566880.62,70707.1578081891,37792.04133333333,4713.810520545941,188.0
Y-17,2025-08-27,681368.7533333333,102144.89673201051,45424.58355555555,6809.659782134035,229.0
Y-17,2025-10-21,711100.6433333333,107476.09299522387,47406.70955555555,7165.072866348258,243.0
Y-17,2026-01-12,711100.6693333333,107476.09299522387,47406.70955555555,7165.072866348258,367.0
Y-18,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-18,2025-05-07,876.1490000000001,0.0,23.76,0.0,117.0
Y-18,2025-05-21,876.1490000000001,0.0,24.5,0.0,131.0
Y-18,2025-06-11,8010.469,53.20000000000027,25.26,0.0,152.0
Y-18,2025-07-17,24194.309,691.6000000000008,26.76,0.0,188.0
Y-18,2025-08-27,63765.519,7412.4807268765,27.19,0.0,229.0
Y-18,2025-10-23,67814.239,7529.520726876499,27.3,0.0,243.0
Y-18,2026-01-08,67814.245,7529.520726876499,27.3,0.0,363.0
Y-19,2024-11-07,0.0,0.0,0.0,0.0,0.0
Y-19,2025-05-07,649.3910000000001,0.0,2.7199999999999998,0.0,117.0
Y-19,2025-07-30,58173.861,5154.737266579747,3282.103333333333,335.8464844386498,201.0
Y-19,2025-08-27,89366.03099999999,8097.971887893515,3282.103333333333,335.8464844386498,229.0
Y-19,2025-10-29,94127.631,8864.051887893515,3282.103333333333,335.8464844386498,243.0
Y-19,2026-01-12,94127.64099999999,8864.051887893515,3282.103333333333,335.8464844386498,367.0
Y-20,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-20,2025-04-23,3.12,0.0,12.43,0.0,103.0
Y-20,2025-05-07,3.557,0.0,12.95,0.0,117.0
Y-20,2025-05-21,8.886,0.0,16.08,0.0,131.0
