 2024-11-05	15:42:55	XNoDosimeter	RNoRod	+1.1782 mWC 
 2025-03-12	09:10:26	XA01835762A	R-48	1337 nonunits
 2025-03-25	09:13:36	XA01088102N	R-112	1337 nonunits
 2025-04-08	08:40:27	XA009185684	R-178	1337 nonunits
 2025-04-23	11:27:39	XA007347682	R-260	1337 nonunits
 2025-05-07	11:19:29	XA01805230X	R-304	+1.1672 mWC 
 2025-05-21	13:05:34	XA02218531O	R-366	+1.1676 mWC 
 2025-06-11	12:29:28	XA00884060L	R-435	1337 nonunits
 2025-06-17	11:01:34	XnoDosimeter	Rnorod	+1.1639 mWC 
 2025-07-02	10:48:40	XA007338962	R-443	1337 nonunits
