 2024-07-22	15:10:50			-9.118	153.049	-103.233	23.402
 2024-07-22	15:14:15			-11.513	153.132	-101.188	22.350
 2024-07-22	15:17:28			-12.494	153.133	-100.406	21.929
 2024-07-22	15:20:29			-13.017	153.137	-100.145	21.742
 2024-07-22	15:23:41			-13.113	153.135	-99.844	21.672
 2024-07-22	15:26:50			-13.005	153.137	-99.783	21.735
 2024-07-22	15:30:00			-13.090	153.138	-99.563	21.670
 2024-07-22	15:33:08			-13.154	153.139	-99.540	21.624
 2024-07-22	15:36:13			-13.167	153.141	-99.459	21.606
 2024-07-22	15:39:32			-13.085	153.138	-99.322	21.605
 2024-07-22	15:45:28			-12.715	153.533	-100.332	21.727
 2024-07-22	15:48:43			-12.691	153.535	-100.169	21.757
 2024-07-22	15:51:58			-12.745	153.537	-100.071	21.695
 2024-07-22	15:55:10			-12.883	153.538	-99.878	21.651
 2024-07-22	15:58:18			-12.882	153.540	-99.767	21.612
 2024-07-22	16:01:31			-12.835	153.537	-99.653	21.597
 2024-07-22	16:04:45			-12.947	153.538	-99.558	21.579
 2024-07-22	16:07:57			-12.882	153.543	-99.630	21.592
 2024-07-22	16:19:42			-12.810	153.888	-100.548	21.736
 2024-07-22	16:22:55			-12.881	153.895	-100.255	21.725
 2024-07-22	16:26:10			-13.019	153.893	-100.004	21.645
 2024-07-22	16:29:18			-13.106	153.898	-99.843	21.583
 2024-07-22	16:32:32			-13.177	153.900	-99.670	21.555
 2024-07-22	16:35:43			-13.078	153.899	-99.764	21.548
 2024-07-22	16:38:51			-12.920	153.900	-99.859	21.625
 2024-07-22	16:42:03			-12.539	153.895	-99.968	21.808
 2024-07-22	16:45:15			-12.145	153.886	-100.172	21.897
 2024-07-22	16:56:40			-11.621	153.862	-100.467	22.105
