 2024-09-30	16:39:19			-0.548	-151.171	93.968	26.495
 2025-07-15	11:44:59	XnoDosimeter	Rnorod	-2.134	-191.218	132.511	24.719
 2025-08-26	12:59:41	XnoDosimeter	Rnorod	-1.694	-192.990	131.708	24.224
 2025-08-27	14:26:56	XnoDosimeter	Rnorod	-0.980	-190.863	132.222	31.592
