 2024-11-05	16:29:58	XNoDosimeter	RnoRod	-3.371	-190.511	125.408	25.414
 2025-07-15	11:19:37	XnoDosimeter	Rnorod	0.917	-239.774	177.068	24.642
 2025-07-16	11:17:42	XnoDosimeter	Rnorod	1.262	-239.865	176.417	23.974
