 2024-11-05	15:34:57	XNODOSIMETER	R	-24.058	-6.621	2.722	25.085
 2025-03-12	09:12:44	XA00751004T	R-33	1337	1337	1337	1337
 2025-03-25	09:14:46	XA00569647Z	R-91	1337	1337	1337	1337
 2025-04-08	08:42:02	XA00803297H	R-153	1337	1337	1337	1337
 2025-04-23	11:29:10	XA007814954	R-242	1337	1337	1337	1337
 2025-06-11	12:31:25	XA00992046A	R-411	1337	1337	1337	1337
 2025-07-02	10:47:30	XA009415297	R-470	1337	1337	1337	1337
 2025-07-17	09:59:39	XA01792518Z	R-510	-165.188	-7.272	-2.808	33.492
 2025-08-27	11:25:35	XA01762008G	R-570	-165.724	-7.713	-2.659	31.210
 2025-09-10	10:59:44	XA025479136	R-641	1337	1337	1337	1337
 2025-10-23	11:23:20	XnoDosimeter	Rnorod	-166.088	-8.388	-2.400	28.481
