 2024-11-21	12:19:51	XNoDosimeter	RNoRod	-6.562	83.262	-20.522	23.200
 2025-03-12	09:54:26	XA00569085B	R-17	1337	1337	1337	1337
 2025-03-25	09:39:06	XA007582949	R-2	1337	1337	1337	1337
 2025-04-08	09:22:16	XA02895407Y	R-177	1337	1337	1337	1337
 2025-04-23	11:06:04	XA008828037	R-206	1337	1337	1337	1337
 2025-07-02	11:24:58	XA01411626K	R-452	1337	1337	1337	1337
 2025-07-17	11:54:55	XA02318805C	R-540	0.822	103.982	-36.251	32.072
 2025-08-27	13:20:52	XA003659429	R-571	0.290	103.275	-38.827	31.541
 2025-09-10	12:05:15		R-640	1337	1337	1337	1337
 2025-09-10	12:05:48	XA011507298	R-640	1337	1337	1337	1337
 2025-10-23	09:13:19	XnoDosimeter	Rnorod	1.789	102.061	-39.113	29.110
