 2024-11-20	11:26:20	XNoDosimeter	RNoRod	-11.655	3.791	7.765	25.205
 2025-03-12	10:05:25	XA02347043N	R-73	1337	1337	1337	1337
 2025-03-25	09:53:07	XA019480298	R-127	1337	1337	1337	1337
 2025-04-08	09:30:13	XA02011930R	R-149	1337	1337	1337	1337
 2025-04-23	12:00:52	XA022638644	R-228	1337	1337	1337	1337
 2025-05-07	09:34:42	XA008594737	R-266	1337	1337	1337	1337
 2025-06-17	11:22:17			1337	1337	1337	1337
 2025-06-17	11:22:22			1337	1337	1337	1337
 2025-06-17	11:22:25			1337	1337	1337	1337
 2025-06-17	11:22:51			1337	1337	1337	1337
 2025-06-17	11:25:28	XA00933512M	R-417	1337	1337	1337	1337
 2025-07-02	10:06:11	XA01606133U	R-491	1337	1337	1337	1337
 2025-07-30	13:29:39	XA02208072U	R-551	-97.464	-1.651	1.832	30.811
 2025-08-27	08:41:39	XA00995846R	R-611	-99.228	-4.305	0.407	30.699
 2025-09-10	12:00:40	XA00807540Q	R-670	1337	1337	1337	1337
 2025-10-21	12:05:01	XnoDosimeter	Rnorod	-99.643	-2.707	1.254	27.875
