 2024-11-05	16:31:05	XNoDosimeter	RnoRod	-21.780	4.475	4.506	25.179
 2025-07-15	11:20:23	XnoDosimeter	Rnorod	-155.089	1.830	-1.567	24.618
 2025-07-16	11:18:28	XnoDosimeter	Rnorod	-155.144	1.712	-1.531	24.176
