plate,collection_date,badge_serial,landauer_part_nbr,landauer_report_date,begin_wear,end_wear,body_mrem,skin_mrem,eye_mrem,beta_mrem,neutron_mrem,nt_mrem,nf_mrem,photon_mrem,exceeded_1000rad,saturated_osl,neutron_exceeded,dose_status
Hn-15,2025-04-23,XA007493758,1091,20250502,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-05-07,XA00865071L,1327,20250516,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-05-21,XA021673782,1291,20250624,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-06-11,XA02057110V,1194,20250624,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-07-02,XA00950533H,289,20250804,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-07-17,XA01372261M,539,20250804,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-08-27,XA007704098,284,20250915,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2025-09-10,XA01512372R,246,20250930,7/1/2025,12/31/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-15,2026-01-12,XA00568241K,152,20260320,7/1/2025,12/31/2025,30,27,28,0,0,0,0,30,False,False,False,MEASURED
Hn-16,2025-03-12,XA02076598W,914,20250331,1/1/2025,6/30/2025,965,1634,1281,703,0,0,0,262,False,False,False,MEASURED
Hn-16,2025-03-25,XA00740420U,1053,20250331,1/1/2025,6/30/2025,205639,205639,205639,0,3350,220,3130,202289,False,False,False,MEASURED
Hn-16,2025-04-08,XA007631895,1134,20250502,1/1/2025,6/30/2025,67317,67317,67317,0,2140,160,1980,65177,False,False,False,MEASURED
Hn-16,2025-04-23,XA017860088,1085,20250502,1/1/2025,6/30/2025,744,711,744,0,0,0,0,744,False,False,False,MEASURED
Hn-16,2025-05-07,XA02150396D,1394,20250516,1/1/2025,6/30/2025,542,518,542,0,0,0,0,542,False,False,False,MEASURED
Hn-16,2025-05-21,XA00710532T,1266,20250624,1/1/2025,6/30/2025,15726,15726,15726,0,170,20,150,15556,False,False,False,MEASURED
Hn-16,2025-06-17,XA00778597T,1215,20250804,1/1/2025,6/30/2025,558651,558651,558651,0,6100,340,5630,552551,False,False,False,MEASURED
Hn-16,2025-07-02,XA01879578P,405,20250804,1/1/2025,6/30/2025,166354,166354,166354,0,2460,130,2330,163894,False,False,False,MEASURED
Hn-16,2025-07-30,XA00560191P,557,20250819,7/1/2025,12/31/2025,779345,779345,779345,0,6920,490,6430,772425,False,False,False,MEASURED
Hn-16,2025-08-27,XA00893298X,509,20250915,7/1/2025,12/31/2025,141891,141891,141891,0,940,70,870,140951,False,False,False,MEASURED
Hn-16,2025-09-10,XA01020855I,223,20250930,7/1/2025,12/31/2025,16973,16362,16973,0,50,0,50,16923,False,False,False,MEASURED
Hn-16,2026-01-08,XA02276344B,187,20260320,7/1/2025,12/31/2025,15,15,15,0,0,0,0,15,False,False,False,MEASURED
Hn-17,2025-03-12,XA025225696,895,20250331,1/1/2025,6/30/2025,229,290,258,64,0,0,0,165,False,False,False,MEASURED
Hn-17,2025-03-25,XA00869042I,1033,20250331,1/1/2025,6/30/2025,6741,8121,7362,1380,1180,80,1100,4181,False,False,False,MEASURED
Hn-17,2025-04-08,XA00743842D,1152,20250502,1/1/2025,6/30/2025,58432,58432,58432,0,8140,520,7620,50292,False,False,False,MEASURED
Hn-17,2025-04-23,XA00763950A,1104,20250502,1/1/2025,6/30/2025,141706,141706,141706,0,160,10,150,141546,False,False,False,MEASURED
Hn-17,2025-05-07,XA00044262T,1322,20250516,1/1/2025,6/30/2025,98686,98686,98686,0,40,0,40,98646,False,False,False,MEASURED
Hn-17,2025-05-21,XA00621931L,1220,20250624,1/1/2025,6/30/2025,1000210,210,210,0,210,10,200,-1,True,False,False,EXCEEDED_PARTIAL
Hn-17,2025-06-11,XA02633313N,1183,20250624,1/1/2025,6/30/2025,1000580,580,580,0,580,50,530,-1,True,False,False,EXCEEDED_PARTIAL
Hn-17,2025-07-02,XA02330642M,287,20250804,1/1/2025,6/30/2025,1002210,2210,2210,0,2210,150,2060,-1,True,False,False,EXCEEDED_PARTIAL
Hn-17,2025-07-17,XA01544177D,532,20250804,7/1/2025,12/31/2025,1001540,1540,1540,0,1540,120,1420,-1,True,False,False,EXCEEDED_PARTIAL
Hn-17,2025-08-27,XA02804431Q,280,20250915,7/1/2025,12/31/2025,1004010,4010,4010,0,4010,290,3720,-1,True,False,False,EXCEEDED_PARTIAL
Hn-17,2025-09-10,XA00589666V,236,20250930,7/1/2025,12/31/2025,1000770,770,770,0,770,40,730,-1,True,False,False,EXCEEDED_PARTIAL
Hn-17,2026-01-08,XA01089004K,151,20260320,7/1/2025,12/31/2025,0,0,0,0,0,0,0,0,False,False,False,MEASURED
Hn-18,2025-03-12,XA009971942,889,20250331,1/1/2025,6/30/2025,127,166,147,43,0,0,0,84,False,False,False,MEASURED
Hn-18,2025-03-25,XA023903286,997,20250331,1/1/2025,6/30/2025,563,697,628,145,220,20,200,198,False,False,False,MEASURED
Hn-18,2025-04-08,XA028926225,1137,20250502,1/1/2025,6/30/2025,96636,96636,96636,0,9280,660,8620,87356,False,False,False,MEASURED
Hn-18,2025-04-23,XA01824418C,1086,20250502,1/1/2025,6/30/2025,189939,152241,183814,0,80,0,80,189859,False,False,False,MEASURED
Hn-18,2025-05-07,XA00778693Z,1375,20250516,1/1/2025,6/30/2025,163833,131339,158554,66112,180,10,170,97541,False,False,False,MEASURED
Hn-18,2025-05-21,XA00939876W,1287,20250624,1/1/2025,6/30/2025,1000090,90,90,0,90,0,90,-1,True,False,False,EXCEEDED_PARTIAL
Hn-18,2025-06-11,XA027297453,285,20250624,1/1/2025,6/30/2025,1000410,410,410,0,410,30,380,-1,True,False,False,EXCEEDED_PARTIAL
Hn-18,2025-07-02,XA00759293A,1404,20250804,1/1/2025,6/30/2025,717208,717208,717208,579840,880,40,840,136488,False,False,False,MEASURED
Hn-18,2025-07-17,XA00365426D,545,20250804,7/1/2025,12/31/2025,1001120,1120,1120,0,1120,80,1040,-1,True,False,False,EXCEEDED_PARTIAL
Hn-18,2025-08-27,XA022951682,285,20250915,7/1/2025,12/31/2025,1001550,1550,1550,0,1550,110,1440,-1,True,False,False,EXCEEDED_PARTIAL
Hn-18,2025-09-10,XA00706610T,252,20250930,7/1/2025,12/31/2025,1000100,100,100,0,100,10,90,-1,True,False,False,EXCEEDED_PARTIAL
Hn-18,2026-01-08,XA010035004,144,20260320,7/1/2025,12/31/2025,6,6,6,0,0,0,0,6,False,False,False,MEASURED
Hn-19,2025-01-27,XA017349157,965,20250227,1/1/2025,6/30/2025,158709,127206,153591,85303,50,0,50,73356,False,False,False,MEASURED
Hn-19,2025-02-18,XA01269313H,926,20250306,1/1/2025,6/30/2025,1011360,11360,11360,0,11360,810,10550,-1,True,False,False,EXCEEDED_PARTIAL
Hn-19,2025-03-05,XA009504579,1021,20250331,1/1/2025,6/30/2025,851167,851167,851167,129842,4770,350,4420,716555,False,False,False,MEASURED
Hn-19,2025-03-12,XA02894004D,971,20250331,1/1/2025,6/30/2025,450046,361407,435645,90523,3630,220,3410,355893,False,False,False,MEASURED
Hn-19,2025-03-25,XA02457738X,1045,20250331,1/1/2025,6/30/2025,341426,274360,330530,78276,3660,270,3390,259490,False,False,False,MEASURED
Hn-19,2025-04-08,XA00821901M,1160,20250502,1/1/2025,6/30/2025,190282,152788,184191,91443,1450,100,1350,97389,False,False,False,MEASURED
Hn-19,2025-04-23,XA01285966U,1092,20250502,1/1/2025,6/30/2025,188715,151409,182654,100619,830,90,740,87266,False,False,False,MEASURED
Hn-19,2025-05-07,XA01046880F,1352,20250516,1/1/2025,6/30/2025,192642,154568,186456,112298,890,60,830,79454,False,False,False,MEASURED
Hn-19,2025-05-21,XA00864747Z,1296,20250624,1/1/2025,6/30/2025,196658,157803,190346,99024,970,60,910,96664,False,False,False,MEASURED
