 2024-11-05	16:27:35	XNoDosimeter	RnoRod	-3.279	-147.962	101.122	25.396
 2025-07-15	11:18:49	XnoDosimeter	Rnorod	2.454	-188.519	142.505	24.613
 2025-07-16	11:16:57	XnoDosimeter	Rnorod	-0.489	-184.515	143.019	23.189
