 2024-11-05	16:36:27	XNoDosimeter	RNoRod	-25.527	-5.022	4.769	24.654
 2025-07-15	10:44:56	XnoDosimeter	Rnorod	-165.724	-4.951	-1.034	22.461
 2025-07-15	10:51:32	XnoDosimeter	Rnorod	-165.806	-6.655	-1.349	23.771
 2025-07-15	11:12:26	XnoDosimeter	Rnorod	-165.706	-7.516	-1.760	24.641
