 2024-11-05	16:29:58	XNoDosimeter	RnoRod	4.503	4.760	-0.858	25.427
 2025-07-15	11:19:37	XnoDosimeter	Rnorod	95.299	7.474	-8.135	24.626
 2025-07-16	11:17:42	XnoDosimeter	Rnorod	94.945	7.077	-8.389	24.011
