 2024-11-22	14:37:55	XNoDosimeter	RNoRod	+1.3582 mWC 
 2025-05-21	10:41:04	XA00934800K	R-338	+1.3559 mWC 
 2025-06-11	10:45:12	XA018299921	R-432	+1.3535 mWC 
 2025-07-17	12:47:28	XA025486074	R-513	+1.3445 mWC 
 2025-08-27	13:57:02	XA02896158W	R-575	+1.3529 mWC 
 2025-08-27	13:57:29	XA02896158W	R-575	+1.3517 mWC 
 2025-08-27	13:57:54	XA02896158W	R-575	+1.3426 mWC 
 2025-08-27	13:58:21	XA02896158W	R-575	+1.3555 mWC 
 2025-08-27	13:59:00	XA02896158W	R-575	+1.3560 mWC 
 2025-10-23	10:11:01	XnoDosimeter	Rnorod	+1.3563 mWC 
 2026-01-08	09:59:44	XA01184002S	R-738	+1.3576 mWC 
