 2024-11-05	16:47:00	XNoDosimeter	RNoRod	3.472	-1.373	7.244	25.049
 2025-07-15	10:49:22	XnoDosimeter	Rnorod	78.378	0.762	4.841	23.532
 2025-07-15	10:53:56	XnoDosimeter	Rnorod	78.653	0.944	4.793	24.275
 2025-07-15	11:15:14	XnoDosimeter	Rnorod	79.063	1.177	5.167	25.944
