 2024-04-24-09:53:31		R-1	0.045	0.027	0.057	21.709
 2024-04-26-11:46:34	XA02737341J	R-1	7.136	1.991	23.923	24.463
 2024-11-05	11:44:05	Xnodose	RNoRod	4.909	3.727	3.643	24.998
 2025-07-30	11:26:25	XA00036404R	R-547	92.475	6.724	-0.876	32.139
 2025-08-27	09:10:54	XA008194587	R-606	92.276	6.753	-0.945	31.375
 2025-10-21	09:26:44	XnoDosimeter	Rnorod	95.107	7.364	-1.163	23.491
 2026-01-12	11:06:21	XA005424599	R-706	94.796	6.916	-1.391	27.736
