 2024-11-05	16:26:23	XNoDosimeter	RnoRod	4.160	-2.409	4.542	24.970
 2025-07-15	11:18:02	XnoDosimeter	Rnorod	87.419	0.747	-0.443	24.743
 2025-07-16	11:14:40	XnoDosimeter	Rnorod	86.240	0.577	-0.582	23.270
