 2024-11-05	16:26:23	XNoDosimeter	RnoRod	-22.486	-1.118	2.099	25.432
 2025-07-15	11:18:02	XnoDosimeter	Rnorod	-167.325	-3.602	-3.613	24.414
 2025-07-16	11:14:40	XnoDosimeter	Rnorod	-167.337	-4.320	-3.768	23.148
