 2024-11-05	16:31:05	XNoDosimeter	RnoRod	-3.174	-154.956	102.618	25.602
 2025-07-15	11:20:23	XnoDosimeter	Rnorod	-3.397	-195.662	144.709	24.791
 2025-07-16	11:18:28	XnoDosimeter	Rnorod	-2.350	-194.447	144.267	24.304
