 2024-04-24-09:53:31		R-1	0.047	0.027	0.057	21.697
 2024-04-26-11:46:34	XA02737341J	R-1	-24.809	-0.565	26.418	24.537
 2024-11-05	11:44:05	Xnodose	RNoRod	-26.339	-5.685	3.318	25.217
 2025-07-30	11:26:25	XA00036404R	R-547	-186.267	-11.063	-2.922	32.140
 2025-08-27	09:10:54	XA008194587	R-606	-187.180	-9.705	-2.577	31.397
 2025-10-21	09:26:44	XnoDosimeter	Rnorod	-187.234	-10.054	-2.928	23.439
 2026-01-12	11:06:21	XA005424599	R-706	-187.411	-8.766	-2.463	27.848
