 2024-11-20	11:13:55	XNoDosimeter	RNoRod	+1.5423 mWC 

 2025-03-12	10:05:25	XA02347043N	R-73	1337 nonunits
 2025-03-25	09:53:07	XA019480298	R-127	1337 nonunits
 2025-04-08	09:30:13	XA02011930R	R-149	1337 nonunits
 2025-04-23	12:00:52	XA022638644	R-228	1337 nonunits
 2025-04-23	12:21:54	XnoDosimeter	Rnorod	+1.5326 mWC 

 2025-05-07	09:34:42	XA008594737	R-266	1337 nonunits
 2025-05-21	10:17:59	XA024854446	R-328	+1.5367 mWC 

 2025-06-17	11:22:17			1337 nonunits
 2025-06-17	11:22:22			1337 nonunits
 2025-06-17	11:22:25			1337 nonunits
 2025-06-17	11:22:51			1337 nonunits
 2025-06-17	11:25:28	XA00933512M	R-417	1337 nonunits
 2025-07-02	10:06:11	XA01606133U	R-491	1337 nonunits
