2024-11-05	14:56:45	XNoDosimeter	RNoRod	+1.3028	mWC
2025-01-27	11:30:37	XA012954951	RnoRod	1337	nonunit
2025-02-18	11:05:57	XA01562132P	R-19	1337	nonunits
2025-03-05	09:25:14	XA04105449B	Rnorod	1337	nonunits
2025-03-12	10:26:10	XA02484756W	R-126	1337	nonunits
2025-03-25	10:03:18	XA01781919S	R-135	1337	nonunits
2025-04-08	09:51:24	XA00921831K	R-157	1337	nonunits
2025-04-23	11:48:16	XA02896962R	R-211	1337	nonunits
2025-04-23	14:18:15	XnoDosimeter	Rnorod	+1.2921	mWC
2025-05-07	12:21:35	XA00858916Y	R-268	+1.2911	mWC
2025-05-21	13:23:53	XA00735715C	R-333	1337	nonunits
2025-06-17	11:52:30	XA00837308C	R-383	1337	nonunits
2025-07-02	10:26:05	XA00342991D	R-473	1337	nonunits
