2024-11-21	12:22:06	XNoDosimeter	RNoRod	+1.3686	mWC
2025-03-12	09:54:26	XA00569085B	R-17	1337	nonunits
2025-03-25	09:39:06	XA007582949	R-2	1337	nonunits
2025-04-08	09:22:16	XA02895407Y	R-177	1337	nonunits
2025-04-23	11:06:04	XA008828037	R-206	1337	nonunits
2025-05-07	10:20:42	XA008566538	R-263	+1.3647	mWC
2025-05-21	11:13:36	XA02895518T	R-342	+1.3679	mWC
2025-06-11	10:18:28	XA00096492A	R-397	+1.3633	mWC
2025-07-02	11:24:58	XA01411626K	R-452	1337	nonunits
2025-07-17	11:56:35	XA02318805C	R-540	+1.3468	mWC
