2024-11-12	16:29:28	XNoDosimeter	RNoRod	+1.5401	mWC
2025-01-27	11:39:46	XA017349157	RnoRod	1337	1337
2025-03-05	09:18:19	XA009504579	Rnorod	1337	nonunits
2025-03-12	10:21:41	XA02894004D	R-81	1337	nonunits
2025-03-25	09:58:40	XA02457738X	R-97	1337	nonunits
2025-04-08	09:44:16	XA00821901M	R-161	1337	nonunits
2025-04-23	11:53:16	XA01285966U	R-215	1337	nonunits
2025-04-23	13:55:17	XnoDosimeter	Rnorod	+2.3009	mWC
2025-05-07	12:53:17	XA01046880F	R-287	+1.5338	mWC
2025-05-21	13:33:01	XA00864747Z	R-362	1337	nonunits
2025-06-17	11:44:36	XA00221064Y	R-440	1337	nonunits
2025-07-02	10:15:44	XA02500355P	R-471	1337	nonunits
