plate,plate_label,region,sub_location,line,ai_photon_rem,ai_photon_gy,ai_neutron_rem,ai_sigma_photon_rem,osl_body_mrem,osl_photon_mrem,osl_neutron_mrem,osl_n_saturated,osl_is_lower_bound,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff
15,Y-15,SE Arc,upstream Girder 27,1,1173.99,11.7399,19.52,0.0,1193510.0,1173990.0,19520.0,0,False,-0.4212053872153784,-0.173398214501539,0.06352868648223306,-0.10682428447769342,-0.2973018008584587,-0.02164779899773018,-0.2756540018607285
3,Y-3,SE Arc,upstream Girder 27,2,1728.798,17.28798,21.770000000000003,0.0,2750568.0,1728384.0,21770.0,1,True,-0.17036752592973062,-0.2508059702462123,0.043120569992878006,-0.16705705105144955,-0.21058674808797145,-0.061968240529285776,-0.14861850755868566
23,Y-23,SE Arc,upstream Girder 27,3,4188.529,41.885290000000005,31.8,117.03999999999996,4299449.0,1027440.0,31800.0,3,True,-0.16975356676946016,-0.10587017742263961,-0.08591005870907552,-0.068963777273306,-0.1378118720960499,-0.07743691799119076,-0.06037495410485913
26,Y-26,SE Arc,upstream Girder 27,4,1702.3239999999998,17.023239999999998,24.229999999999997,0.0,1726554.0,1411640.0,24230.0,0,False,-0.15270166010908068,-0.13692569893577117,-0.07125288731379952,0.07421584326537194,-0.1448136795224259,0.0014814779757862107,-0.14629515749821212
40,Y-40,SE Arc,upstream Girder 27,5,1371.6600000000003,13.716600000000003,21.730000000000004,0.0,1393390.0,1319775.0,21730.0,0,False,-0.20154682379811042,-0.2431264757374881,nan,0.0071351959044741314,-0.22233664976779927,0.0071351959044741314,-0.2294718456722734
39,Y-39,NE Arc,above JD3A06,1,6965.507,69.65507,15.03,787.3599999999999,3197657.0,2152023.0,15030.0,1,True,-0.8549872272749245,-0.6763714481251759,0.3760796073140795,-0.3664970507697381,-0.7656793377000501,0.0047912782721707126,-0.7704706159722209
7,Y-7,NE Arc,above JD3A06,2,47207.029,472.07029000000006,19.800000000000004,10340.99054781573,6547939.0,1526744.0,19800.0,5,True,-0.45227970233169934,-0.4729072341915084,-0.09880219668841855,-0.18477715895530775,-0.46259346826160386,-0.14178967782186314,-0.3208037904397407
18,Y-18,NE Arc,above JD3A06,3,67814.245,678.1424499999999,27.3,7529.520726876499,6903455.0,875361.0,27300.0,6,True,-0.36880253005752966,-0.22905004523013564,-0.005046699018583783,-0.3196840262081755,-0.29892628764383267,-0.16236536261337964,-0.13656092503045303
21,Y-21,NE Arc,above JD3A06,4,166508.36700000003,1665.0836700000002,12.870000000000001,50372.51009492028,7508147.0,494551.0,12870.0,7,True,-0.4588657638895287,-0.35277060775647445,-0.11817668019984592,-0.057149378204023604,-0.40581818582300155,-0.08766302920193476,-0.3181551566210668
9,Y-9,NE Arc,above JD3A06,5,164028.409,1640.28409,10.129999999999999,29197.58809952383,7534059.0,501300.0,10130.0,7,True,-0.40553091742556846,-0.6135077880334815,0.013279393057450328,-0.26107828799926747,-0.509519352729525,-0.12389944747090857,-0.3856199052586164
38,Y-38,NW Arc,above MJC4A24,1,962.783,9.627830000000001,8.15,0.0,970933.0,961201.0,8150.0,0,False,-0.37283000491824647,-0.4526789844257669,0.2801284802137073,-0.025334171395436055,-0.41275449467200664,0.12739715440913563,-0.5401516490811422
6,Y-6,NW Arc,above MJC4A24,2,44087.066000000006,440.87066000000004,13.489999999999998,8751.678952925293,6125186.0,1110931.0,13490.0,5,True,-0.44320686917409585,-0.23990148963593427,0.06904185280409246,0.034635817975407865,-0.3415541794050151,0.05183883538975016,-0.39339301479476524
36,Y-36,NW Arc,above MJC4A24,3,94606.70499999999,946.0670499999999,9.55,29132.5200407422,6371355.0,361079.0,9550.0,6,True,-0.2766636817970497,-0.2638879121751555,0.29088727286567817,-0.09544125089790695,-0.2702757969861026,0.09772301098388561,-0.3679988079699882
25,Y-25,NW Arc,above MJC4A24,4,151626.26433333333,1516.2626433333332,8.72,52393.27724693378,6528261.0,519119.0,8720.0,6,True,-0.38523870126506343,-0.35055845530570184,-0.023588025805414404,-0.21951624064280015,-0.36789857828538264,-0.12155213322410728,-0.24634644506127534
34,Y-34,NW Arc,above MJC4A24,5,50220.001,502.20000999999996,9.160000000000002,1627.9199999999996,6569021.0,559645.0,9160.0,6,True,-0.37217609632056314,nan,-0.12340289761497271,-0.08624068920174169,-0.37217609632056314,-0.1048217934083572,-0.26735430291220597
13,Y-13,SW Arc,above MJC4A14,1,2998.3590000000004,29.983590000000003,24.04,0.0,3022399.0,2998359.0,24040.0,0,False,-0.8055448775720571,-0.6750696168878046,-0.3359691882637139,-0.5001147927828387,-0.7403072472299308,-0.4180419905232763,-0.3222652567066545
32,Y-32,SW Arc,above MJC4A14,2,34889.765,348.89765,30.130000000000003,2447.1199999999985,6190535.0,1160210.0,30130.0,5,True,-0.5223201935510144,-0.566082139765013,-0.008216370940110223,-0.27345388025200895,-0.5442011666580138,-0.1408351255960596,-0.4033660410619542
19,Y-19,SW Arc,above MJC4A14,3,94127.64099999999,941.2764099999999,3282.103333333333,8864.051887893515,6657281.0,646143.0,7880.0,6,True,-0.5420224275917531,-0.42870422939235936,-0.11815338734464033,-0.11934569565683166,-0.4853633284920562,-0.118749541500736,-0.3666137869913202
10,Y-10,SW Arc,above MJC4A14,4,127580.54000000001,1275.8054000000002,1507.1273333333334,16533.54844036652,6566550.0,522488.0,13630.0,6,True,-0.16786209466042107,-0.07989896922144524,-0.015401472604273424,0.004482891977565553,-0.12388053194093315,-0.005459290313353935,-0.11842124162757922
11,Y-11,SW Arc,above MJC4A14,5,51711.703,517.11703,21.200000000000003,1943.6000000000017,6544923.0,513957.0,21200.0,6,True,-0.1551402084295574,-0.1646288639756504,0.0005697893956218273,-0.06479095600775042,-0.1598845362026039,-0.0321105833060643,-0.1277739528965396
12,Y-12,Labyrinth,North Access Labyrinth,0,31.251000000000005,0.31251000000000007,1028.4299999999998,0.0,59681.0,31251.0,28430.0,0,False,-0.27185658351434094,-0.19695012162783848,-0.16136522023444722,0.005199249980081371,-0.2344033525710897,-0.07808298512718292,-0.1563203674439068
17,Y-17,North Linac,NL NDX @ Girder 5,0,711100.6693333333,7111.006693333333,47406.70955555555,107476.09299522387,13000114.0,114.0,0.0,13,True,-0.31930198759579836,-0.08018741839631156,0.006228189792714504,-0.047777500706468794,-0.19974470299605496,-0.020774655456877143,-0.1789700475391778
4,Y-4,North Linac,NL Inj/Ret Crossover (0L05 NDX),0,859.631,8.59631,54.169999999999995,0.0,913801.0,675746.0,54170.0,0,False,-0.41376807456129283,-0.023922640886768317,-0.062158824840809646,0.3942090189538391,-0.21884535772403058,0.16602509705651472,-0.38487045478054527
16,Y-16,North Linac,NL NDX @ Girder 23,0,1583734.6686666666,15837.346686666666,105445.75111111111,267915.9882059416,13143598.0,50709.0,27970.0,13,True,-0.12555514947975294,0.0010090583540674149,0.06286384477462689,0.0897364122600947,-0.06227304556284276,0.07630012851736079,-0.13857317408020353
22,Y-22,North Linac,NL NDX @ Girder 26,0,2345143.281,23451.43281,156342.88333333336,295042.4036925889,13078025.0,43623.0,10100.0,13,True,-0.15663788929879024,-0.11006491516046604,-0.040517036141478543,0.19485034225963552,-0.13335140222962816,0.0771666530590785,-0.21051805528870665
20,Y-20,Labyrinth,South Access Labyrinth,0,107.311,1.07311,19.29,0.0,126601.0,107311.0,19290.0,0,False,-0.28729541169757594,-0.21875071817866482,0.052486135664548836,-0.1270155436649803,-0.2530230649381204,-0.03726470400021573,-0.21575836093790465
24,Y-24,South Linac,SL NDX @ Girder 4,0,629926.1323333334,6299.261323333334,41250.91488888889,90282.98302347591,14019799.0,39.0,19760.0,14,True,-0.19021768145705575,-0.08892927246748014,-0.027100550831320073,0.04925431066845649,-0.13957347696226796,0.011076879918568207,-0.15065035688083617
5,Y-5,South Linac,SL NDX @ Girder 6,0,3704.5429999999997,37.045429999999996,49.230000000000004,500.0,8468608.0,1090596.0,55540.0,6,True,-0.17345703036892615,-0.08184498769223805,0.3688902743483803,-0.024321035356387778,-0.1276510090305821,0.17228461949599624,-0.29993562852657835
1,Y-1,South Linac,SL NDX @ Girder 23,0,1471398.8,14713.988000000001,98091.72666666668,170753.29958488152,11149034.0,117599.0,1830.0,11,True,-0.112572192364463,-0.2688354583815454,0.19321146349255802,-0.0031490296055095043,-0.19070382537300418,0.09503121694352426,-0.28573504231652846
30,Y-30,South Linac,SL NDX @ Girder 25,0,2210156.321666667,22101.56321666667,147342.6211111111,231393.9670178867,11181769.0,51023.0,1850.0,11,True,-0.22700297481326592,-0.009261486876512922,-0.16904036699671052,-0.058245261462831335,-0.11813223084488943,-0.11364281422977093,-0.004489416615118494
