assembly_id,plate,slot,pair,material,region,baseline_mean,latest_mean,pct_change,n_baseline,temp_corrected,environment,is_outlier
An-20-3-2,20,3,2,NdFeB,North Linac,1.5544,1.5577,0.2111,1,True,tunnel,False
An-20-4-1,20,4,1,NdFeB,North Linac,1.5556,1.5591,0.2241,1,True,tunnel,False
An-20-4-2,20,4,2,NdFeB,North Linac,1.5492,1.5517,0.166,1,True,tunnel,False
An-37-1-1,37,1,1,NdFeB,SE Arc,1.5564,1.557,0.0333,1,True,tunnel,False
An-37-2-1,37,2,1,NdFeB,SE Arc,1.5538,1.5517,-0.1391,1,True,tunnel,False
An-37-2-2,37,2,2,NdFeB,SE Arc,1.5551,1.553,-0.1362,1,True,tunnel,False
An-37-3-1,37,3,1,NdFeB,SE Arc,1.5437,1.5447,0.0651,1,True,tunnel,False
An-37-3-2,37,3,2,NdFeB,SE Arc,1.5554,1.5596,0.2683,1,True,tunnel,False
An-37-4-1,37,4,1,NdFeB,SE Arc,1.554,1.5546,0.0384,1,True,tunnel,False
An-37-4-2,37,4,2,NdFeB,SE Arc,1.5494,1.5478,-0.1005,1,True,tunnel,False
An-39-1-1,39,1,1,NdFeB,NW Arc,1.5585,1.5593,0.0489,1,True,tunnel,False
An-39-1-2,39,1,2,NdFeB,NW Arc,1.5478,1.5463,-0.0972,1,True,tunnel,False
An-39-2-1,39,2,1,NdFeB,NW Arc,1.5578,1.5566,-0.0725,1,True,tunnel,False
An-39-2-2,39,2,2,NdFeB,NW Arc,1.5591,1.5589,-0.011,1,True,tunnel,False
An-39-3-1,39,3,1,NdFeB,NW Arc,1.5531,1.5525,-0.0391,1,True,tunnel,False
An-39-4-1,39,4,1,NdFeB,NW Arc,1.5504,1.5504,0.003,1,True,tunnel,False
An-39-4-2,39,4,2,NdFeB,NW Arc,1.5487,1.5493,0.0376,1,True,tunnel,False
An-6-1-1,6,1,1,NdFeB,South Linac,1.5565,1.5653,0.562,2,True,tunnel,False
An-6-1-2,6,1,2,NdFeB,South Linac,1.5536,1.5571,0.2258,1,True,tunnel,False
An-6-2-1,6,2,1,NdFeB,South Linac,1.5405,1.5545,0.9111,1,True,tunnel,False
An-6-2-2,6,2,2,NdFeB,South Linac,1.553,1.559,0.3877,1,True,tunnel,False
An-6-3-1,6,3,1,NdFeB,South Linac,1.5747,1.5729,-0.114,1,True,tunnel,False
An-6-4-1,6,4,1,NdFeB,South Linac,1.5554,1.5585,0.2005,1,True,tunnel,False
An-6-4-2,6,4,2,NdFeB,South Linac,1.5551,1.5569,0.116,1,True,tunnel,False
An-8-1-1,8,1,1,NdFeB,SE Arc,1.5481,1.5544,0.4072,1,True,tunnel,False
An-8-1-2,8,1,2,NdFeB,SE Arc,1.551,1.5534,0.1574,1,True,tunnel,False
An-8-2-1,8,2,1,NdFeB,SE Arc,1.5435,1.5448,0.0829,1,True,tunnel,False
An-8-2-2,8,2,2,NdFeB,SE Arc,1.5562,1.5583,0.1345,1,True,tunnel,False
An-8-3-1,8,3,1,NdFeB,SE Arc,1.5531,1.5545,0.0848,1,True,tunnel,False
An-8-3-2,8,3,2,NdFeB,SE Arc,1.5415,1.5431,0.1071,1,True,tunnel,False
An-8-4-1,8,4,1,NdFeB,SE Arc,1.5516,1.5527,0.076,1,True,tunnel,False
An-9-1-1,9,1,1,NdFeB,SE Arc,1.5423,1.5414,-0.0597,1,True,tunnel,False
An-9-2-1,9,2,1,NdFeB,SE Arc,1.546,1.5468,0.05,1,True,tunnel,False
An-9-2-2,9,2,2,NdFeB,SE Arc,1.5526,1.5559,0.2152,1,True,tunnel,False
An-9-3-1,9,3,1,NdFeB,SE Arc,1.5461,1.548,0.1211,1,True,tunnel,False
An-9-3-2,9,3,2,NdFeB,SE Arc,1.5367,1.5395,0.1777,1,True,tunnel,False
An-9-4-1,9,4,1,NdFeB,SE Arc,1.5581,1.5604,0.149,1,True,tunnel,False
An-9-4-2,9,4,2,NdFeB,SE Arc,1.5545,1.551,-0.2225,1,True,tunnel,False
As-1-1-1,1,1,1,SmCo,SW Arc,1.3555,1.3495,-0.4392,1,True,tunnel,False
As-1-1-2,1,1,2,SmCo,SW Arc,1.3642,1.3588,-0.3976,1,True,tunnel,False
As-1-2-1,1,2,1,SmCo,SW Arc,1.3534,1.3511,-0.174,1,True,tunnel,False
As-1-2-2,1,2,2,SmCo,SW Arc,1.3569,1.3572,0.0184,1,True,tunnel,False
As-1-3-1,1,3,1,SmCo,SW Arc,1.3627,1.3625,-0.0138,1,True,tunnel,False
As-1-3-2,1,3,2,SmCo,SW Arc,1.3571,1.358,0.0703,1,True,tunnel,False
As-1-4-1,1,4,1,SmCo,SW Arc,1.3648,1.3627,-0.1594,1,True,tunnel,False
As-10-1-1,10,1,1,SmCo,SW Arc,1.358,1.359,0.0697,1,True,tunnel,False
As-10-1-2,10,1,2,SmCo,SW Arc,1.3598,1.3602,0.034,1,True,tunnel,False
As-10-2-1,10,2,1,SmCo,SW Arc,1.3601,1.3592,-0.0675,1,True,tunnel,False
As-10-2-2,10,2,2,SmCo,SW Arc,1.3632,1.3632,-0.0046,1,True,tunnel,False
As-10-3-1,10,3,1,SmCo,SW Arc,1.3572,1.3612,0.2953,1,True,tunnel,False
As-10-4-1,10,4,1,SmCo,SW Arc,1.3631,1.3594,-0.2762,1,True,tunnel,False
As-10-4-2,10,4,2,SmCo,SW Arc,1.3586,1.3601,0.1086,1,True,tunnel,False
As-12-1-1,12,1,1,SmCo,NE Arc,1.3632,1.3613,-0.1388,1,True,tunnel,False
As-12-2-1,12,2,1,SmCo,NE Arc,1.3578,1.3561,-0.1228,1,True,tunnel,False
As-12-2-2,12,2,2,SmCo,NE Arc,1.3597,1.3596,-0.0103,1,True,tunnel,False
As-12-3-1,12,3,1,SmCo,NE Arc,1.3624,1.359,-0.2512,1,True,tunnel,False
As-12-3-2,12,3,2,SmCo,NE Arc,1.3613,1.3573,-0.2972,1,True,tunnel,False
As-12-4-1,12,4,1,SmCo,NE Arc,1.3664,1.3652,-0.0853,1,True,tunnel,False
As-12-4-2,12,4,2,SmCo,NE Arc,1.3618,1.3612,-0.0428,1,True,tunnel,False
As-13-1-1,13,1,1,SmCo,South Linac,1.369,1.3702,0.0837,1,True,tunnel,False
As-13-1-2,13,1,2,SmCo,South Linac,1.3655,1.3689,0.248,1,True,tunnel,False
As-13-2-1,13,2,1,SmCo,South Linac,1.3585,1.3609,0.1785,1,True,tunnel,False
As-13-2-2,13,2,2,SmCo,South Linac,1.3564,1.3589,0.187,1,True,tunnel,False
As-13-3-1,13,3,1,SmCo,South Linac,1.3635,1.3668,0.2418,1,True,tunnel,False
As-13-4-1,13,4,1,SmCo,South Linac,1.3607,1.3618,0.0815,1,True,tunnel,False
As-13-4-2,13,4,2,SmCo,South Linac,1.3625,1.3634,0.0659,1,True,tunnel,False
As-14-1-1,14,1,1,SmCo,NE Arc,1.3542,1.3534,-0.0596,1,True,tunnel,False
As-14-1-2,14,1,2,SmCo,NE Arc,1.3621,1.3606,-0.1119,1,True,tunnel,False
As-14-2-1,14,2,1,SmCo,NE Arc,1.3611,1.3607,-0.0318,1,True,tunnel,False
As-14-2-2,14,2,2,SmCo,NE Arc,1.3615,1.363,0.1069,1,True,tunnel,False
As-14-3-1,14,3,1,SmCo,NE Arc,1.3633,1.3638,0.0325,1,True,tunnel,False
As-14-3-2,14,3,2,SmCo,NE Arc,1.3658,1.367,0.0843,1,True,tunnel,False
As-14-4-1,14,4,1,SmCo,NE Arc,1.3643,1.3659,0.1176,1,True,tunnel,False
As-15-1-1,15,1,1,SmCo,North Linac,1.3595,1.3636,0.2987,1,True,tunnel,False
As-15-1-2,15,1,2,SmCo,North Linac,1.3649,1.368,0.2302,1,True,tunnel,False
As-15-2-1,15,2,1,SmCo,North Linac,1.3618,1.3646,0.2048,1,True,tunnel,False
As-15-2-2,15,2,2,SmCo,North Linac,1.3559,1.3568,0.0698,1,True,tunnel,False
As-15-3-1,15,3,1,SmCo,North Linac,1.357,1.3584,0.0997,1,True,tunnel,False
As-15-4-1,15,4,1,SmCo,North Linac,1.3612,1.364,0.2013,1,True,tunnel,False
As-15-4-2,15,4,2,SmCo,North Linac,1.3608,1.363,0.1596,1,True,tunnel,False
As-16-1-1,16,1,1,SmCo,NE Arc,1.3628,1.361,-0.1328,1,True,tunnel,False
As-16-2-1,16,2,1,SmCo,NE Arc,1.3601,1.3604,0.0187,1,True,tunnel,False
As-16-2-2,16,2,2,SmCo,NE Arc,1.3577,1.357,-0.0528,1,True,tunnel,False
As-16-3-1,16,3,1,SmCo,NE Arc,1.365,1.3634,-0.1193,1,True,tunnel,False
As-16-3-2,16,3,2,SmCo,NE Arc,1.3581,1.3632,0.3749,1,True,tunnel,False
As-16-4-1,16,4,1,SmCo,NE Arc,1.3629,1.3587,-0.3091,1,True,tunnel,False
As-16-4-2,16,4,2,SmCo,NE Arc,1.3611,1.3615,0.0296,1,True,tunnel,False
As-17-1-1,17,1,1,SmCo,SW Arc,1.3688,1.3667,-0.1595,1,True,tunnel,False
As-17-1-2,17,1,2,SmCo,SW Arc,1.3637,1.3632,-0.038,1,True,tunnel,False
As-17-2-1,17,2,1,SmCo,SW Arc,1.3633,1.3627,-0.0456,1,True,tunnel,False
As-17-3-1,17,3,1,SmCo,SW Arc,1.364,1.3631,-0.0629,1,True,tunnel,False
As-17-3-2,17,3,2,SmCo,SW Arc,1.366,1.3651,-0.0658,1,True,tunnel,False
As-17-4-1,17,4,1,SmCo,SW Arc,1.3548,1.3536,-0.0875,1,True,tunnel,False
As-17-4-2,17,4,2,SmCo,SW Arc,1.3597,1.3569,-0.2067,1,True,tunnel,False
As-18-1-1,18,1,1,SmCo,South Linac,1.3556,1.358,0.1708,1,True,tunnel,False
As-18-1-2,18,1,2,SmCo,South Linac,1.3632,1.3651,0.1379,1,True,tunnel,False
As-18-2-1,18,2,1,SmCo,South Linac,1.363,1.3673,0.3083,1,True,tunnel,False
As-18-3-1,18,3,1,SmCo,South Linac,1.3576,1.3612,0.2697,1,True,tunnel,False
