#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
   75  D108                     2539.701     8060.000    10000.000   -12929.228        0.000        0.000    16128.239
   76  R146                     2589.701     8060.000    10000.000   -12879.228        0.000        0.000    16131.989
   77  D109                     2655.761     8060.000    10000.000   -12813.168        0.000        0.000    16131.989
   78  R147                     2705.761     8060.000    10000.000   -12763.168        0.000        0.000    16135.739
   79  D108                     2730.761     8060.000    10000.000   -12738.168        0.000        0.000    16135.739
   80  R148                     2780.761     8060.000    10000.000   -12688.168        0.000        0.000    16139.489
   81  D110                     2880.000     8060.000    10000.000   -12588.929        0.000        0.000    16139.489
   82  MDB1L05V                 2880.000     8060.000    10000.000   -12588.929        0.000        0.000    16139.489
   83  D104                     2897.975     8060.000    10000.000   -12570.954        0.000        0.000    16139.489
   84  IPM1L05                  2897.975     8060.000    10000.000   -12570.954        0.000        0.000    16139.489
   85  D105                     2899.823     8060.000    10000.000   -12569.106        0.000        0.000    16139.489
   86  MQ1L05A                  2909.823     8060.000    10000.000   -12559.106        0.000        0.000    16139.489
   87  D106                     2919.823     8060.000    10000.000   -12549.106        0.000        0.000    16139.489
   88  MQ1L05B                  2939.823     8060.000    10000.000   -12529.106        0.000        0.000    16139.489
   89  D106                     2949.823     8060.000    10000.000   -12519.106        0.000        0.000    16139.489
   90  MQ1L05C                  2959.823     8060.000    10000.000   -12509.106        0.000        0.000    16139.489
   91  D105                     2961.670     8060.000    10000.000   -12507.259        0.000        0.000    16139.489
   92  D107                     3042.580     8060.000    10000.000   -12426.349        0.000        0.000    16139.489
   93  R151                     3092.580     8060.000    10000.000   -12376.349        0.000        0.000    16143.239
   94  D108                     3117.580     8060.000    10000.000   -12351.349        0.000        0.000    16143.239
   95  R152                     3167.580     8060.000    10000.000   -12301.349        0.000        0.000    16146.989
   96  D109                     3233.640     8060.000    10000.000   -12235.289        0.000        0.000    16146.989
   97  R153                     3283.640     8060.000    10000.000   -12185.289        0.000        0.000    16150.739
   98  D108                     3308.640     8060.000    10000.000   -12160.289        0.000        0.000    16150.739
   99  R154                     3358.640     8060.000    10000.000   -12110.289        0.000        0.000    16154.489
  100  D109                     3424.700     8060.000    10000.000   -12044.229        0.000        0.000    16154.489
  101  R155                     3474.700     8060.000    10000.000   -11994.229        0.000        0.000    16158.239
  102  D108                     3499.700     8060.000    10000.000   -11969.229        0.000        0.000    16158.239
  103  R156                     3549.700     8060.000    10000.000   -11919.229        0.000        0.000    16161.989
  104  D109                     3615.760     8060.000    10000.000   -11853.169        0.000        0.000    16161.989
  105  R157                     3665.760     8060.000    10000.000   -11803.169        0.000        0.000    16165.739
  106  D108                     3690.760     8060.000    10000.000   -11778.169        0.000        0.000    16165.739
  107  R158                     3740.760     8060.000    10000.000   -11728.169        0.000        0.000    16169.489
  108  D113                     3806.091     8060.000    10000.000   -11662.838        0.000        0.000    16169.489
  109  ITV1L06                  3806.091     8060.000    10000.000   -11662.838        0.000        0.000    16169.489
  110  D114                     3818.029     8060.000    10000.000   -11650.900        0.000        0.000    16169.489
  111  MAT1L06H                 3818.029     8060.000    10000.000   -11650.900        0.000        0.000    16169.489
  112  D112                     3857.976     8060.000    10000.000   -11610.953        0.000        0.000    16169.489
  113  IPM1L06                  3857.976     8060.000    10000.000   -11610.953        0.000        0.000    16169.489
  114  D105                     3859.823     8060.000    10000.000   -11609.106        0.000        0.000    16169.489
  115  MQ1L06A                  3869.823     8060.000    10000.000   -11599.106        0.000        0.000    16169.489
  116  D106                     3879.823     8060.000    10000.000   -11589.106        0.000        0.000    16169.489
  117  MQ1L06B                  3899.823     8060.000    10000.000   -11569.106        0.000        0.000    16169.489
  118  D106                     3909.823     8060.000    10000.000   -11559.106        0.000        0.000    16169.489
  119  MQ1L06C                  3919.823     8060.000    10000.000   -11549.106        0.000        0.000    16169.489
  120  D105                     3921.671     8060.000    10000.000   -11547.258        0.000        0.000    16169.489
  121  D107                     4002.581     8060.000    10000.000   -11466.348        0.000        0.000    16169.489
  122  R161                     4052.581     8060.000    10000.000   -11416.348        0.000        0.000    16173.239
  123  D108                     4077.581     8060.000    10000.000   -11391.348        0.000        0.000    16173.239
  124  R162                     4127.581     8060.000    10000.000   -11341.348        0.000        0.000    16176.989
  125  D109                     4193.641     8060.000    10000.000   -11275.288        0.000        0.000    16176.989
  126  R163                     4243.641     8060.000    10000.000   -11225.288        0.000        0.000    16180.739
  127  D108                     4268.641     8060.000    10000.000   -11200.288        0.000        0.000    16180.739
  128  R164                     4318.641     8060.000    10000.000   -11150.288        0.000        0.000    16184.489
  129  D109                     4384.701     8060.000    10000.000   -11084.228        0.000        0.000    16184.489
  130  R165                     4434.701     8060.000    10000.000   -11034.228        0.000        0.000    16188.239
  131  D108                     4459.701     8060.000    10000.000   -11009.228        0.000        0.000    16188.239
  132  R166                     4509.701     8060.000    10000.000   -10959.228        0.000        0.000    16191.989
  133  D109                     4575.761     8060.000    10000.000   -10893.168        0.000        0.000    16191.989
  134  R167                     4625.761     8060.000    10000.000   -10843.168        0.000        0.000    16195.739
  135  D108                     4650.761     8060.000    10000.000   -10818.168        0.000        0.000    16195.739
  136  R168                     4700.761     8060.000    10000.000   -10768.168        0.000        0.000    16199.489
  137  D110                     4800.000     8060.000    10000.000   -10668.929        0.000        0.000    16199.489
  138  MAT1L07V                 4800.000     8060.000    10000.000   -10668.929        0.000        0.000    16199.489
  139  D104                     4817.976     8060.000    10000.000   -10650.953        0.000        0.000    16199.489
  140  IPM1L07                  4817.976     8060.000    10000.000   -10650.953        0.000        0.000    16199.489
  141  D105                     4819.823     8060.000    10000.000   -10649.106        0.000        0.000    16199.489
  142  MQ1L07A                  4829.823     8060.000    10000.000   -10639.106        0.000        0.000    16199.489
  143  D106                     4839.823     8060.000    10000.000   -10629.106        0.000        0.000    16199.489
  144  MQ1L07B                  4859.823     8060.000    10000.000   -10609.106        0.000        0.000    16199.489
  145  D106                     4869.823     8060.000    10000.000   -10599.106        0.000        0.000    16199.489
  146  MQ1L07C                  4879.823     8060.000    10000.000   -10589.106        0.000        0.000    16199.489
  147  D105                     4881.671     8060.000    10000.000   -10587.258        0.000        0.000    16199.489
  148  D107                     4962.581     8060.000    10000.000   -10506.348        0.000        0.000    16199.489
  149  R171                     5012.581     8060.000    10000.000   -10456.348        0.000        0.000    16203.239
  150  D108                     5037.581     8060.000    10000.000   -10431.348        0.000        0.000    16203.239
  151  R172                     5087.581     8060.000    10000.000   -10381.348        0.000        0.000    16206.989
  152  D109                     5153.641     8060.000    10000.000   -10315.288        0.000        0.000    16206.989
  153  R173                     5203.641     8060.000    10000.000   -10265.288        0.000        0.000    16210.739
  154  D108                     5228.641     8060.000    10000.000   -10240.288        0.000        0.000    16210.739
  155  R174                     5278.641     8060.000    10000.000   -10190.288        0.000        0.000    16214.489
  156  D109                     5344.701     8060.000    10000.000   -10124.228        0.000        0.000    16214.489
  157  R175                     5394.701     8060.000    10000.000   -10074.228        0.000        0.000    16218.239
  158  D108                     5419.701     8060.000    10000.000   -10049.228        0.000        0.000    16218.239
  159  R176                     5469.701     8060.000    10000.000    -9999.228        0.000        0.000    16221.989
  160  D109                     5535.761     8060.000    10000.000    -9933.168        0.000        0.000    16221.989
  161  R177                     5585.761     8060.000    10000.000    -9883.168        0.000        0.000    16225.739
  162  D108                     5610.761     8060.000    10000.000    -9858.168        0.000        0.000    16225.739
  163  R178                     5660.761     8060.000    10000.000    -9808.168        0.000        0.000    16229.489
  164  D115                     5738.029     8060.000    10000.000    -9730.900        0.000        0.000    16229.489
  165  MAT1L08H                 5738.029     8060.000    10000.000    -9730.900        0.000        0.000    16229.489
