 2026-01-08	10:31:50	XA00576889O	R-716	-184.671	-8.459	-6.323	27.741
 2026-04-20	09:29:18	XA02534296B	R-790	-184.772	-6.717	-5.733	26.065
 2026-04-20	09:32:39	XA02534296B	R-790	-184.749	-5.555	-5.467	26.541
