 2026-01-08	10:31:50	XA00576889O	R-716	6.199	-233.361	177.289	27.719
 2026-04-20	09:29:18	XA02534296B	R-790	4.665	-233.169	177.842	26.124
 2026-04-20	09:32:39	XA02534296B	R-790	4.777	-232.736	177.928	26.656
