2024-11-05	16:31:05	XNoDosimeter	RnoRod	3.369	-9.774	3.551	25.307
2025-07-15	11:20:23	XnoDosimeter	Rnorod	79.903	-7.884	-2.005	24.462
2025-07-16	11:18:28	XnoDosimeter	Rnorod	79.644	-7.923	-2.080	24.264
