2024-11-05	16:29:58	XNoDosimeter	RnoRod	-23.212	-2.040	2.729	25.904
2025-07-15	11:19:37	XnoDosimeter	Rnorod	-187.611	-6.733	-2.551	24.600
2025-07-16	11:17:42	XnoDosimeter	Rnorod	-187.396	-7.306	-2.965	24.005
