2024-11-20	10:14:11	XNoDosimeter	RNoRod	+1.5464	mWC
2025-03-12	10:13:30	XA00563217G	R-44	1337	nonunits
2025-03-25	09:46:07	XA02137891A	R-117	1337	nonunits
2025-04-08	09:37:58	XA00553485B	R-164	1337	nonunits
2025-04-23	12:05:41	XA007641878	R-216	1337	nonunits
2025-04-23	13:18:36	XnoDosimeter	Rnorod	+1.5314	mWC
2025-05-07	09:41:11	XA00595847T	R-283	1337	nonunits
2025-05-21	09:30:43	XA020746639	R-359	+1.5325	mWC
2025-06-17	11:31:20	XA01966073D	R-426	1337	nonunits
2025-07-02	09:58:58	XA00856640F	R-484	1337	nonunits
