 2026-01-08	12:23:42	XA01089004K	R-713	+1.5459 mWC 
 2026-04-20	14:55:58	XA00798647S	R-779	+1.5402 mWC 
 2026-06-02	13:48:13	XA00117199G	R-856	+1.5389 mWC 
 2026-06-24	11:42:46	XA003790794	R-915	+1.5341 mWC 
