 2026-06-02	09:04:57	XnoDosimeter	Rnorod	23.20 degC	49.10 %
 2026-06-03	07:28:31	XnoDosimeter	Rnorod	22.90 degC	41.20 %
 2026-06-03	08:33:58	XnoDosimeter	Rnorod	27.50 degC	32.20 %
 2026-06-03	09:26:11	XnoDosimeter	Rnorod	28.50 degC	35.70 %
 2026-06-04	13:47:57	XnoDosimeter	Rnorod	21.80 degC	46.50 %
 2026-06-09	09:50:01	XnoDosimeter	Rnorod	21.20 degC	51.80 %
 2026-06-09	16:46:34	XnoDosimeter	Rnorod	23.90 degC	41.60 %
 2026-06-10	10:35:27	XnoDosimeter	Rnorod	22.90 degC	48.30 %
 2026-06-10	16:01:46	XnoDosimeter	Rnorod	23.60 degC	40.70 %
 2026-06-11	09:03:46	XnoDosimeter	Rnorod	22.70 degC	49.40 %
 2026-06-11	16:56:20	XnoDosimeter	Rnorod	23.90 degC	40.10 %
 2026-06-12	09:03:03	XnoDosimeter	Rnorod	21.90 degC	47.60 %
 2026-06-12	13:20:07	XnoDosimeter	Rnorod	23.70 degC	42.70 %
 2026-06-15	09:37:42	XnoDosimeter	Rnorod	22.10 degC	46.70 %
 2026-06-15	09:40:41	XnoDosimeter	Rnorod	22.50 degC	45.90 %
 2026-06-15	09:44:35	XnoDosimeter	Rnorod	22.30 degC	45.70 %
 2026-06-15	09:47:06	XnoDosimeter	Rnorod	22.40 degC	45.60 %
 2026-06-15	09:50:21	XnoDosimeter	Rnorod	22.50 degC	45.70 %
 2026-06-15	09:55:06	XnoDosimeter	Rnorod	22.50 degC	45.80 %
 2026-06-15	09:58:12	XnoDosimeter	Rnorod	22.60 degC	45.80 %
 2026-06-15	10:01:11	XnoDosimeter	Rnorod	22.80 degC	45.30 %
 2026-06-15	10:04:42	XnoDosimeter	Rnorod	22.90 degC	44.50 %
 2026-06-15	10:07:39	XnoDosimeter	Rnorod	23.00 degC	44.50 %
 2026-06-15	14:45:50	XnoDosimeter	Rnorod	23.90 degC	42.50 %
 2026-06-16	15:04:02	XnoDosimeter	Rnorod	22.70 degC	45.40 %
 2026-06-16	16:10:26	XnoDosimeter	Rnorod	24.00 degC	42.90 %
 2026-06-17	09:09:53	XnoDosimeter	Rnorod	22.30 degC	48.40 %
 2026-06-17	14:05:37	XnoDosimeter	Rnorod	22.30 degC	44.80 %
 2026-06-17	14:07:37	XnoDosimeter	Rnorod	22.30 degC	44.50 %
 2026-06-17	14:09:42	XnoDosimeter	Rnorod	22.50 degC	44.30 %
 2026-06-17	14:12:17	XnoDosimeter	Rnorod	22.70 degC	43.70 %
 2026-06-17	14:15:07	XnoDosimeter	Rnorod	23.00 degC	43.00 %
 2026-06-17	14:17:19	XnoDosimeter	Rnorod	23.10 degC	42.90 %
 2026-06-17	14:19:39	XnoDosimeter	Rnorod	23.30 degC	42.60 %
 2026-06-17	14:21:58	XnoDosimeter	Rnorod	23.30 degC	42.60 %
 2026-06-17	14:23:44	XnoDosimeter	Rnorod	23.20 degC	42.30 %
 2026-06-17	14:26:30	XnoDosimeter	Rnorod	23.30 degC	42.20 %
 2026-06-17	16:29:17	XnoDosimeter	Rnorod	24.00 degC	40.90 %
 2026-06-18	09:19:17	XnoDosimeter	Rnorod	22.20 degC	46.60 %
 2026-06-18	16:52:24	XnoDosimeter	Rnorod	23.20 degC	43.20 %
 2026-06-24	08:54:29	XnoDosimeter	Rnorod	26.30 degC	51.40 %
 2026-06-24	15:36:20	XnoDosimeter	Rnorod	28.90 degC	47.80 %
