 2026-06-02	11:23:51	XA01068294C	R-805	
 2026-06-02	11:25:32	XA01068294C	R-805	28.10 degC	34.00 %
 2026-06-24	14:11:59	XA020848815	R-904	28.50 degC	45.10 %
