Y-8-1	1.3005	1.2872
Y-8-2	1.076	1.0714
Y-8-3	1.1687	1.1588
Y-8-4	1.0362	1.0317
Hs-29-1	2.7374	2.7231
Hs-29-2	1.3908	1.3874
Hs-29-3	1.3631	1.3559
Hs-29-4	0.0034	0.0039
As-29-1-1	1.3627	1.3549
As-29-1-2	1.3652	1.3589
As-29-2-1	1.3616	1.3544
As-29-2-2	1.3609	1.3568
As-29-3-1	1.3592	1.3514
As-29-4-1	1.3588	1.3514
As-29-4-2	1.3579	1.3483
