pair_id,plate,slot,material,region,config,baseline_mean,latest_mean,pct_change,n_baseline,environment,is_outlier
Hs-14-3,14,3,SmCo,NE Arc,Alpha,2.7402,2.7416,0.05,1,tunnel,False
Hs-14-4,14,4,SmCo,NE Arc,Delta,1.3672,1.3687,0.1091,1,tunnel,False
Hs-15-1,15,1,SmCo,North Linac,Gamma,1.3488,1.3528,0.2939,1,tunnel,False
Hs-15-3,15,3,SmCo,North Linac,Delta,1.3605,1.362,0.11,1,tunnel,False
Hs-15-4,15,4,SmCo,North Linac,Alpha,2.7323,2.7369,0.1706,1,tunnel,False
Hs-16-1,16,1,SmCo,NE Arc,Delta,1.3651,1.3628,-0.1648,1,tunnel,False
Hs-16-3,16,3,SmCo,NE Arc,Gamma,1.4361,1.4235,-0.8794,1,tunnel,False
Hs-16-4,16,4,SmCo,NE Arc,Alpha,2.7336,2.7312,-0.0893,1,tunnel,False
Hs-17-1,17,1,SmCo,SW Arc,Alpha,2.7436,2.7405,-0.1127,1,tunnel,False
Hs-17-2,17,2,SmCo,SW Arc,Delta,1.3508,1.3643,0.9995,1,tunnel,False
Hs-17-3,17,3,SmCo,SW Arc,Gamma,1.3614,1.3722,0.7935,1,tunnel,False
Hs-18-2,18,2,SmCo,South Linac,Delta,1.3689,1.3703,0.1048,1,tunnel,False
Hs-18-3,18,3,SmCo,South Linac,Gamma,1.3481,1.3498,0.1253,1,tunnel,False
Hs-18-4,18,4,SmCo,South Linac,Alpha,2.7368,2.7377,0.0356,1,tunnel,False
Hs-2-2,2,2,SmCo,SW Arc,Alpha,2.7382,2.7368,-0.0543,1,tunnel,False
Hs-2-3,2,3,SmCo,SW Arc,Gamma,1.3337,1.3425,0.664,1,tunnel,False
Hs-2-4,2,4,SmCo,SW Arc,Delta,1.3679,1.367,-0.0589,1,tunnel,False
Hs-20-1,20,1,SmCo,NE Arc,Delta,1.3572,1.3575,0.0207,1,tunnel,False
Hs-20-2,20,2,SmCo,NE Arc,Gamma,1.2695,1.266,-0.281,1,tunnel,False
Hs-20-3,20,3,SmCo,NE Arc,Alpha,2.7398,2.7418,0.0711,1,tunnel,False
Hs-3-1,3,1,SmCo,SW Arc,Gamma,1.4626,1.4707,0.5541,1,tunnel,False
Hs-3-2,3,2,SmCo,SW Arc,Alpha,2.7285,2.7408,0.4509,1,tunnel,False
Hs-3-4,3,4,SmCo,SW Arc,Delta,1.3627,1.3632,0.0379,1,tunnel,False
Hs-4-1,4,1,SmCo,Labyrinth,Delta,1.366,1.3676,0.1166,1,tunnel,False
Hs-4-2,4,2,SmCo,Labyrinth,Alpha,2.7352,2.7389,0.1359,1,tunnel,False
