# Universe 5. Values shown are for the Exit End of each Element:
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
      0  BEGINNING        Beginning_Ele         0.00000       ---     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      1  PI_17CB1_XPITCH  Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      2  PI_17CB1_XOFF    Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      3  MCB1             Sbend                 3.00000   3.00000     0.00000   100.00000     3.00000     0.00000     0.00000     0.00000
      4  PO_17CB1_XOFF    Patch                 3.00000   0.00000    -0.10471   100.00000     3.00000     0.00000     0.00000     0.00000
      5  PO_17CB1_XPITCH  Patch                 3.00000   0.00000    -0.10471   100.00000     3.00000    -0.06978     0.00000     0.00000
      6  D1700            Drift                 4.50000   1.50000    -0.20928   100.00000     4.49635    -0.06978     0.00000     0.00000
      7  PI_17CB2_XPITCH  Patch                 4.50000   0.00000    -0.20928   100.00000     4.49635    -0.09754     0.00000     0.00000
      8  PI_17CB2_XOFF    Patch                 4.50000   0.00000    -0.04080   100.00000     4.51284    -0.09754     0.00000     0.00000
      9  MCB2             Sbend                 7.50000   3.00000    -0.33296   100.00000     7.49858    -0.09754     0.00000     0.00000
     10  PO_17CB2_XOFF    Patch                 7.50000   0.00000    -0.31399   100.00000     7.50043    -0.09754     0.00000     0.00000
     11  PO_17CB2_XPITCH  Patch                 7.50000   0.00000    -0.31399   100.00000     7.50043     0.00009     0.00000     0.00000
     12  D1701            Drift                 8.00000   0.50000    -0.31394   100.00000     8.00043     0.00009     0.00000     0.00000
     13  PI_17CB3B_XPITCH Patch                 8.00000   0.00000    -0.31394   100.00000     8.00043     0.00009     0.00000     0.00000
     14  PI_17CB3B_XOFF   Patch                 8.00000   0.00000    -0.08175   100.00000     8.00041     0.00009     0.00000     0.00000
     15  MCB3B            Sbend                11.00000   3.00000    -0.08146   100.00000    11.00041     0.00009     0.00000     0.00000
     16  PO_17CB3B_XOFF   Patch                11.00000   0.00000    -0.20895   100.00000    11.00042     0.00009     0.00000     0.00000
     17  PO_17CB3B_XPITCH Patch                11.00000   0.00000    -0.20895   100.00000    11.00042     0.06987     0.00000     0.00000
     18  D1702            Drift                12.00000   1.00000    -0.13914   100.00000    11.99798     0.06987     0.00000     0.00000
     19  PI_17CB4B_XPITCH Patch                12.00000   0.00000    -0.13914   100.00000    11.99798     0.04371     0.00000     0.00000
     20  PI_17CB4B_XOFF   Patch                12.00000   0.00000     0.01848   100.00000    11.99109     0.04371     0.00000     0.00000
     21  MCB4B            Sbend                15.00000   3.00000     0.14957   100.00000    14.98822     0.04371     0.00000     0.00000
     22  PO_17CB4B_XOFF   Patch                15.00000   0.00000     0.17528   100.00000    14.98710     0.04371     0.00000     0.00000
     23  PO_17CB4B_XPITCH Patch                15.00000   0.00000     0.17528   100.00000    14.98710     0.13973     0.00000     0.00000
     24  D1703            Drift                16.50000   1.50000     0.38420   100.00000    16.47248     0.13973     0.00000     0.00000
     25  PI_17CB5B_XPITCH Patch                16.50000   0.00000     0.38420   100.00000    16.47248     0.11790     0.00000     0.00000
     26  PI_17CB5B_XOFF   Patch                16.50000   0.00000     0.36478   100.00000    16.47478     0.11790     0.00000     0.00000
     27  MCB5B            Sbend                19.50000   3.00000     0.71767   100.00000    19.45395     0.11790     0.00000     0.00000
     28  PO_17CB5B_XOFF   Patch                19.50000   0.00000     0.69824   100.00000    19.45625     0.11790     0.00000     0.00000
     29  PO_17CB5B_XPITCH Patch                19.50000   0.00000     0.69824   100.00000    19.45625     0.07000     0.00000     0.00000
     30  D1704            Drift                22.50000   3.00000     0.90806   100.00000    22.44891     0.07000     0.00000     0.00000
     31  PI_17CB6B_XPITCH Patch                22.50000   0.00000     0.90806   100.00000    22.44891     0.05032     0.00000     0.00000
     32  PI_17CB6B_XOFF   Patch                22.50000   0.00000     0.87133   100.00000    22.45076     0.05032     0.00000     0.00000
     33  MCB6B            Sbend                25.50000   3.00000     1.02221   100.00000    25.44696     0.05032     0.00000     0.00000
     34  PO_17CB6B_XOFF   Patch                25.50000   0.00000     1.01342   100.00000    25.44740     0.05032     0.00000     0.00000
     35  PO_17CB6B_XPITCH Patch                25.50000   0.00000     1.01342   100.00000    25.44740     0.00025     0.00000     0.00000
     36  D1705            Drift                31.50000   6.00000     1.01495   100.00000    31.44740     0.00025     0.00000     0.00000
     37  PI_17B7_XPITCH   Patch                31.50000   0.00000     1.01495   100.00000    31.44740     0.00025     0.00000     0.00000
     38  PI_17B7_XOFF     Patch                31.50000   0.00000     0.80399   100.00000    31.44745     0.00025     0.00000     0.00000
     39  M17B7            Sbend                34.50000   3.00000     0.80475   100.00000    34.44745     0.00025     0.00000     0.00000
     40  PO_17B7_XOFF     Patch                34.50000   0.00000     0.89700   100.00000    34.44743     0.00025     0.00000     0.00000
