# Universe 1. Values shown are for the Exit End of each Element:
# Index  name           key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                         [rad]       [rad]       [rad]
     53  M9B9           Sbend                52.30000   3.00000    -0.96868   100.00000    52.22551     0.00000     0.00000     0.00000
     54  PO_9B9_XOFF    Patch                52.30000   0.00000    -0.93482   100.00000    52.22551     0.00000     0.00000     0.00000
     55  PO_9B9_XPITCH  Patch                52.30000   0.00000    -0.93482   100.00000    52.22551    -0.08535     0.00000     0.00000
     56  D908           Drift                55.30000   3.00000    -1.19057   100.00000    55.21459    -0.08535     0.00000     0.00000
     57  PI_9B10_XPITCH Patch                55.30000   0.00000    -1.19057   100.00000    55.21459     0.00000     0.00000     0.00000
     58  PI_9B10_XOFF   Patch                55.30000   0.00000    -1.31868   100.00000    55.21459     0.00000     0.00000     0.00000
     59  M9B10          Sbend                58.30000   3.00000    -1.31868   100.00000    58.21459     0.00000     0.00000     0.00000
     60  PO_9B10_XOFF   Patch                58.30000   0.00000    -1.31868   100.00000    58.21459     0.00000     0.00000     0.00000
     61  PO_9B10_XPITCH Patch                58.30000   0.00000    -1.31868   100.00000    58.21459     0.00000     0.00000     0.00000
     62  D909           Drift                76.80000  18.50000    -1.31868   100.00000    76.71459     0.00000     0.00000     0.00000
     63  PI_9B15_XPITCH Patch                76.80000   0.00000    -1.31868   100.00000    76.71459     0.00000     0.00000     0.00000
     64  PI_9B15_XOFF   Patch                76.80000   0.00000    -1.31868   100.00000    76.71459     0.00000     0.00000     0.00000
     65  M9B15          Sbend                79.80000   3.00000    -1.31868   100.00000    79.71459     0.00000     0.00000     0.00000
     66  PO_9B15_XOFF   Patch                79.80000   0.00000    -1.12608   100.00000    79.71459     0.00000     0.00000     0.00000
     67  PO_9B15_XPITCH Patch                79.80000   0.00000    -1.12608   100.00000    79.71459     0.12822     0.00000     0.00000
     68  D914           Drift                86.86350   7.06350    -0.22284   100.00000    86.72011     0.12822     0.00000     0.00000
     69  PI_9B16_XPITCH Patch                86.86350   0.00000    -0.22284   100.00000    86.72011     0.04666     0.00000     0.00000
     70  PI_9B16_XOFF   Patch                86.86350   0.00000    -0.37268   100.00000    86.72710     0.04666     0.00000     0.00000
     71  M9B16          Sbend                89.86350   3.00000    -0.23275   100.00000    89.72384     0.04666     0.00000     0.00000
     72  PO_9B16_XOFF   Patch                89.86350   0.00000    -0.03024   100.00000    89.71438     0.04666     0.00000     0.00000
     73  PO_9B16_XPITCH Patch                89.86350   0.00000    -0.03024   100.00000    89.71438     0.00024     0.00000     0.00000
     74  D915           Drift                94.99950   5.13600    -0.02899   100.00000    94.85038     0.00024     0.00000     0.00000
     75  END            Marker               94.99950   0.00000    -0.02899   100.00000    94.85038     0.00024     0.00000     0.00000
# Index  name           key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                         [rad]       [rad]       [rad]
# Universe 1. Values shown are for the Exit End of each Element:
