# Universe 6. Values shown are for the Exit End of each Element:
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
     53  PO_19B9_XPITCH   Patch                43.40000   0.00000     1.24304   100.00000    43.35400    -0.04156     0.00000     0.00000
     54  D1908            Drift                47.40000   4.00000     1.07686   100.00000    47.35055    -0.04156     0.00000     0.00000
     55  PI_19B10_XPITCH  Patch                47.40000   0.00000     1.07686   100.00000    47.35055     0.00019     0.00000     0.00000
     56  PI_19B10_XOFF    Patch                47.40000   0.00000     1.10175   100.00000    47.35054     0.00019     0.00000     0.00000
     57  M19B10           Sbend                50.40000   3.00000     1.10231   100.00000    50.35054     0.00019     0.00000     0.00000
     58  PO_19B10_XOFF    Patch                50.40000   0.00000     1.01479   100.00000    50.35056     0.00019     0.00000     0.00000
     59  PO_19B10_XPITCH  Patch                50.40000   0.00000     1.01479   100.00000    50.35056     0.00019     0.00000     0.00000
     60  D1909#1          Drift                51.40000   1.00000     1.01498   100.00000    51.35056     0.00019     0.00000     0.00000
     61  M19E             Sbend                54.40000   3.00000     1.01555   100.00000    54.35056     0.00019     0.00000     0.00000
     62  D1909#2          Drift                58.40000   4.00000     1.01630   100.00000    58.35056     0.00019     0.00000     0.00000
     63  PI_19B11_XPITCH  Patch                58.40000   0.00000     1.01630   100.00000    58.35056     0.00019     0.00000     0.00000
     64  PI_19B11_XOFF    Patch                58.40000   0.00000     1.09878   100.00000    58.35054     0.00019     0.00000     0.00000
     65  M19B11           Sbend                61.40000   3.00000     1.09935   100.00000    61.35054     0.00019     0.00000     0.00000
     66  PO_19B11_XOFF    Patch                61.40000   0.00000     1.07949   100.00000    61.35055     0.00019     0.00000     0.00000
     67  PO_19B11_XPITCH  Patch                61.40000   0.00000     1.07949   100.00000    61.35055     0.04194     0.00000     0.00000
     68  D1910            Drift                65.40000   4.00000     1.24719   100.00000    65.34703     0.04194     0.00000     0.00000
     69  PI_19B12_XPITCH  Patch                65.40000   0.00000     1.24719   100.00000    65.34703     0.00019     0.00000     0.00000
     70  PI_19B12_XOFF    Patch                65.40000   0.00000     1.10010   100.00000    65.34706     0.00019     0.00000     0.00000
     71  M19B12           Sbend                68.40000   3.00000     1.10066   100.00000    68.34706     0.00019     0.00000     0.00000
     72  PO_19B12_XOFF    Patch                68.40000   0.00000     1.31038   100.00000    68.34702     0.00019     0.00000     0.00000
     73  PO_19B12_XPITCH  Patch                68.40000   0.00000     1.31038   100.00000    68.34702     0.00019     0.00000     0.00000
     74  D1911            Drift                70.40000   2.00000     1.31076   100.00000    70.34702     0.00019     0.00000     0.00000
     75  PI_19B13_XPITCH  Patch                70.40000   0.00000     1.31076   100.00000    70.34702     0.00019     0.00000     0.00000
     76  PI_19B13_XOFF    Patch                70.40000   0.00000     1.10104   100.00000    70.34706     0.00019     0.00000     0.00000
     77  M19B13           Sbend                73.40000   3.00000     1.10161   100.00000    73.34706     0.00019     0.00000     0.00000
     78  PO_19B13_XOFF    Patch                73.40000   0.00000     1.20791   100.00000    73.34704     0.00019     0.00000     0.00000
     79  PO_19B13_XPITCH  Patch                73.40000   0.00000     1.20791   100.00000    73.34704    -0.06873     0.00000     0.00000
     80  D1912            Drift                89.40200  16.00200     0.10899   100.00000    89.31126    -0.06873     0.00000     0.00000
     81  PI_19B14_XPITCH  Patch                89.40200   0.00000     0.10899   100.00000    89.31126    -0.03427     0.00000     0.00000
     82  PI_19B14_XOFF    Patch                89.40200   0.00000     0.30887   100.00000    89.31811    -0.03427     0.00000     0.00000
     83  M19B14           Sbend                92.40200   3.00000     0.20608   100.00000    92.31635    -0.03427     0.00000     0.00000
     84  PO_19B14_XOFF    Patch                92.40200   0.00000     0.00614   100.00000    92.30950    -0.03427     0.00000     0.00000
     85  PO_19B14_XPITCH  Patch                92.40200   0.00000     0.00614   100.00000    92.30950     0.00015     0.00000     0.00000
     86  D1913            Drift                95.00000   2.59800     0.00652   100.00000    94.90750     0.00015     0.00000     0.00000
     87  END              Marker               95.00000   0.00000     0.00652   100.00000    94.90750     0.00015     0.00000     0.00000
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
# Universe 6. Values shown are for the Exit End of each Element:
