# Universe 3. Values shown are for the Exit End of each Element:
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
      0  BEGINNING        Beginning_Ele         0.00000       ---     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      1  PI_13CB1_XPITCH  Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      2  PI_13CB1_XOFF    Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      3  MCB1             Sbend                 3.00000   3.00000     0.00000   100.00000     3.00000     0.00000     0.00000     0.00000
      4  PO_13CB1_XOFF    Patch                 3.00000   0.00000    -0.13563   100.00000     3.00000     0.00000     0.00000     0.00000
      5  PO_13CB1_XPITCH  Patch                 3.00000   0.00000    -0.13563   100.00000     3.00000    -0.09036     0.00000     0.00000
      6  D1300            Drift                 4.50000   1.50000    -0.27099   100.00000     4.49388    -0.09036     0.00000     0.00000
      7  PI_13CB2_XPITCH  Patch                 4.50000   0.00000    -0.27099   100.00000     4.49388    -0.09754     0.00000     0.00000
      8  PI_13CB2_XOFF    Patch                 4.50000   0.00000    -0.04110   100.00000     4.51638    -0.09754     0.00000     0.00000
      9  MCB2             Sbend                 7.50000   3.00000    -0.33326   100.00000     7.50212    -0.09754     0.00000     0.00000
     10  PO_13CB2_XOFF    Patch                 7.50000   0.00000    -0.40663   100.00000     7.49494    -0.09754     0.00000     0.00000
     11  PO_13CB2_XPITCH  Patch                 7.50000   0.00000    -0.40663   100.00000     7.49494     0.00003     0.00000     0.00000
     12  D1301            Drift                12.50000   5.00000    -0.40647   100.00000    12.49494     0.00003     0.00000     0.00000
     13  PI_13CB3A_XPITCH Patch                12.50000   0.00000    -0.40647   100.00000    12.49494     0.00003     0.00000     0.00000
     14  PI_13CB3A_XOFF   Patch                12.50000   0.00000    -0.51983   100.00000    12.49494     0.00003     0.00000     0.00000
     15  MCB3A            Sbend                15.50000   3.00000    -0.51974   100.00000    15.49494     0.00003     0.00000     0.00000
     16  PO_13CB3A_XOFF   Patch                15.50000   0.00000    -0.54201   100.00000    15.49494     0.00003     0.00000     0.00000
     17  PO_13CB3A_XPITCH Patch                15.50000   0.00000    -0.54201   100.00000    15.49494    -0.09033     0.00000     0.00000
     18  D1302            Drift                17.50000   2.00000    -0.72242   100.00000    17.48679    -0.09033     0.00000     0.00000
     19  PI_13CB4A_XPITCH Patch                17.50000   0.00000    -0.72242   100.00000    17.48679     0.00003     0.00000     0.00000
     20  PI_13CB4A_XOFF   Patch                17.50000   0.00000    -0.64968   100.00000    17.48678     0.00003     0.00000     0.00000
