# Universe 4. Values shown are for the Exit End of each Element:
# Index  name             key                         s         l           X           Y           Z       Theta         Phi         Psi
#                                                                                                           [rad]       [rad]       [rad]
      0  BEGINNING        Beginning_Ele         0.00000       ---     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      1  PI_15CB1_XPITCH  Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      2  PI_15CB1_XOFF    Patch                 0.00000   0.00000     0.00000   100.00000     0.00000     0.00000     0.00000     0.00000
      3  MCB1             Sbend                 3.00000   3.00000     0.00000   100.00000     3.00000     0.00000     0.00000     0.00000
      4  PO_15CB1_XOFF    Patch                 3.00000   0.00000    -0.11818   100.00000     3.00000     0.00000     0.00000     0.00000
      5  PO_15CB1_XPITCH  Patch                 3.00000   0.00000    -0.11818   100.00000     3.00000    -0.07874     0.00000     0.00000
      6  D1500            Drift                 4.50000   1.50000    -0.23617   100.00000     4.49535    -0.07874     0.00000     0.00000
      7  PI_15CB2_XPITCH  Patch                 4.50000   0.00000    -0.23617   100.00000     4.49535    -0.09754     0.00000     0.00000
      8  PI_15CB2_XOFF    Patch                 4.50000   0.00000    -0.04093   100.00000     4.51446    -0.09754     0.00000     0.00000
      9  MCB2             Sbend                 7.50000   3.00000    -0.33309   100.00000     7.50020    -0.09754     0.00000     0.00000
     10  PO_15CB2_XOFF    Patch                 7.50000   0.00000    -0.35435   100.00000     7.49812    -0.09754     0.00000     0.00000
     11  PO_15CB2_XPITCH  Patch                 7.50000   0.00000    -0.35435   100.00000     7.49812     0.00007     0.00000     0.00000
     12  D1501            Drift                12.50000   5.00000    -0.35399   100.00000    12.49812     0.00007     0.00000     0.00000
     13  PI_15CB3A_XPITCH Patch                12.50000   0.00000    -0.35399   100.00000    12.49812     0.00007     0.00000     0.00000
     14  PI_15CB3A_XOFF   Patch                12.50000   0.00000    -0.51992   100.00000    12.49813     0.00007     0.00000     0.00000
     15  MCB3A            Sbend                15.50000   3.00000    -0.51970   100.00000    15.49813     0.00007     0.00000     0.00000
