 2024-11-19	16:37:22	XNoDosimeter	RNoRod	-18.441	0.678	2.474	25.123
 2025-01-27	11:39:46	XA017349157	RnoRod	1337	1337	1337	1337 2025-02-18	10:53:09	XA01269313H	R-55	1337	1337	1337	1337
 2025-03-05	09:18:19	XA009504579	Rnorod	1337	1337	1337	1337
 2025-03-12	10:21:41	XA02894004D	R-81	1337	1337	1337	1337
